ID_CHARGEST,DISTRICT_ID,DISTRICT,NEIGHBOURHOOD_ID,NEIGHBOURHOOD,STREET,ST_NUMBER,LOCATION,CONECTOR_INFO,CAPACITY,OPERATOR
34,16,Hortaleza,6,Valdefuentes,Avenida María de Portugal 15,15,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,IBERDROLA
35,17,Villaverde,3,Butarque,"Avda. de los Rosales 147 M-301 km 4,1",147,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,REPSOL
36,18,Villa de Vallecas,3,Ensanche de Vallecas,Avenida Real de Arganda 74,74,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,REPSOL
37,20,San Blas - Canillejas,6,Rejas,"Barajas II A2 Km 12,6",,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,REPSOL
38,1,Centro,6,Sol,Plaza de Jacinto Benavente 6,6,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,EMT
39,4,Salamanca,1,Recoletos,Jardines del Descubrimiento - Acceso a Complejo de Aparcamientos subterráneos por Calle de la Armada Española,,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,12,EMT
40,4,Salamanca,5,Lista,Plaza de Marqués de Salamanca,,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,EMT
41,5,Chamartín,6,Castilla,Calle Hiedra 36,36,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,EMT
42,1,Centro,1,Palacio,Plaza de la Cebada,,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo),2,DRIVE THE CITY
43,1,Centro,5,Universidad,Calle Alberto Aguilera 9,9,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo),2,REPSOL
44,3,Retiro,2,Adelfas,Plaza del Conde de Casal 6,6,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo),4,DRIVE THE CITY
45,8,Fuencarral - El Pardo,8,El Goloso,"Calle del Monasterio de Arlanza, 20 (Centro Comercial Montecarmelo)",20,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo),4,IBERDROLA
46,16,Hortaleza,3,Canillas,Avenida de Machupichu 105,105,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo),2,GIC
47,16,Hortaleza,6,Valdefuentes,Avenida de Niceto Alcala Zamora 20,20,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo),2,GIC/ GALP
48,18,Villa de Vallecas,1,Casco Histórico de Vallecas,"Avenida Eje Central, 7",7,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,NATURGY
49,18,Villa de Vallecas,1,Casco Histórico de Vallecas,Carretera de Villaverde a Vallecas 278,278,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo),2,REPSOL
50,21,Barajas,5,Corralejos,Avenida del Consejo de Europa 2,2,Estación de servicio,350 kW conector CC (CCS),4,GIC / CEPSA
51,21,Barajas,5,Corralejos,Avenida del Partenón 5 (Recinto IFEMA),5,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo),4,IBERDROLA
52,18,Villa de Vallecas,1,Casco Histórico de Vallecas,Parcela D.2.1 Anexo avenida de legazpi,,Mercamadrid,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,6,DRIVE THE CITY
53,18,Villa de Vallecas,1,Casco Histórico de Vallecas,Parcela E4 Anexo Avda Legazpi,,Mercamadrid,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,DRIVE THE CITY
