ID_BIKEST,DISTRICT,DISTRICT_ID,NEIGHBOURHOOD_ID,NEIGHBOURHOOD,STREET,ST_NUMBER,CAPACITY,LONGITUDE,LATITUDE
1a,CENTRO,1,16,SOL,CALLE DE ALCALA,2,30,-3.701998,40.4171107
1b,CENTRO,1,16,SOL,CALLE DE ALCALA,6,30,-3.7015636,40.4172132
2,CENTRO,1,15,UNIVERSIDAD,CALLE DE MIGUEL MOYA,1,24,-3.7056739,40.42058
3,CHAMBERÍ,7,72,ARAPILES,PLAZA DEL CONDE DEL VALLE DE SUCHIL,2,18,-3.7072122,40.4303224
4,CENTRO,1,15,UNIVERSIDAD,CALLE DE MANUELA MALASAÑA,3,24,-3.7026739,40.4285905
5,CENTRO,1,14,JUSTICIA,CALLE DE FUENCARRAL,106,27,-3.7020743,40.428362
6,CENTRO,1,14,JUSTICIA,CALLE DE HORTALEZA,63,24,-3.6984093,40.4241633
7,CENTRO,1,14,JUSTICIA,CALLE DE HORTALEZA,75,21,-3.6977399,40.4252161
8,CHAMBERÍ,7,74,ALMAGRO,PLAZA DE ALONSO MARTINEZ,6,24,-3.6953067,40.4277143
9,CENTRO,1,11,PALACIO,PLAZA DE SAN MIGUEL,9,24,-3.7094093,40.4156134
10,CENTRO,1,14,JUSTICIA,CALLE DEL MARQUES DE LA ENSENADA,16,24,-3.6920816,40.4254027
11,CENTRO,1,15,UNIVERSIDAD,CALLE DE SAN ANDRES,20,24,-3.7036192,40.4270517
12,CENTRO,1,15,UNIVERSIDAD,CALLE DE SAN BERNARDO,87,24,-3.7062202,40.4285271
13,CENTRO,1,15,UNIVERSIDAD,CALLE DEL CONDE DUQUE,22,24,-3.7104727,40.4273652
14,MONCLOA-ARAVACA,9,92,ARGÜELLES,CALLE DE VENTURA RODRIGUEZ,1,24,-3.7133768,40.4259913
