ID_BIKEST,DISTRICT,DISTRICT_ID,NEIGHBOURHOOD_ID,NEIGHBOURHOOD,STREET,ST_NUMBER,CAPACITY,LONGITUDE,LATITUDE
94,SALAMANCA,4,41,RECOLETOS,PASEO DE RECOLETOS,22,21,-3.6907044,40.4233686
95,SALAMANCA,4,41,RECOLETOS,CALLE DE CLAUDIO COELLO,19,24,-3.6869914,40.4226634
96,SALAMANCA,4,41,RECOLETOS,CALLE DE ALCALA,111,27,-3.6820471,40.4220516
97,SALAMANCA,4,42,GOYA,AVENIDA DE MENENDEZ PELAYO,1,27,-3.6801515,40.4224846
98,SALAMANCA,4,42,GOYA,AVENIDA DE FELIPE II,5,24,-3.6754079,40.4241911
99,SALAMANCA,4,42,GOYA,CALLE DE ALCANTARA,2,24,-3.6739638,40.4261048
100,SALAMANCA,4,42,GOYA,CALLE DE GOYA,99,24,-3.6738777,40.4247843
101,SALAMANCA,4,42,GOYA,CALLE DE JORGE JUAN,131,24,-3.6694246,40.4231223
102,SALAMANCA,4,41,RECOLETOS,CALLE DE ALCALA,95,24,-3.6840806,40.4211552
103,SALAMANCA,4,46,CASTELLANA,CALLE DE JOSE ORTEGA Y GASSET,4,24,-3.6865351,40.4303733
104,SALAMANCA,4,41,RECOLETOS,PASEO DE LA CASTELLANA,4,21,-3.6895792,40.4267658
105,SALAMANCA,4,41,RECOLETOS,CALLE DE SERRANO,46,24,-3.6874745,40.4270684
106a,SALAMANCA,4,41,RECOLETOS,CALLE DE SERRANO,32,18,-3.6878868,40.4248642
106b,SALAMANCA,4,41,RECOLETOS,CALLE DE SERRANO,34,18,-3.6878604,40.4250085
107,SALAMANCA,4,41,RECOLETOS,CALLE DE SERRANO,8,24,-3.6884243,40.4215952
108,SALAMANCA,4,42,GOYA,CALLE DE LAS MARTIRES CONCEPCIONISTAS,2,27,-3.670653,40.4274425
109,SALAMANCA,4,46,CASTELLANA,CALLE DE JOSE ORTEGA Y GASSET,32,24,-3.6815253,40.4301281
110,MONCLOA-ARAVACA,9,91,CASA DE CAMPO,PASEO DE MORET,S/N,24,-3.7201316,40.4347654
111a,CHAMBERÍ,7,71,GAZTAMBIDE,CALLE DEL ARCIPRESTE DE HITA,8,24,-3.7174896,40.4335742
111b,CHAMBERÍ,7,71,GAZTAMBIDE,CALLE DEL ARCIPRESTE DE HITA,12,24,-3.7177783,40.433982
112,MONCLOA-ARAVACA,9,92,ARGÜELLES,PASEO DE MORET,11,24,-3.7248727,40.4326267
113,MONCLOA-ARAVACA,9,91,CASA DE CAMPO,PASEO DEL PINTOR ROSALES,38,24,-3.7207145,40.4277472
114,MONCLOA-ARAVACA,9,92,ARGÜELLES,CALLE DE QUINTANA,13,24,-3.7174151,40.4278211
115,MONCLOA-ARAVACA,9,92,ARGÜELLES,PLAZA DEL MARQUES DE CERRALBO,S/N,24,-3.7169626,40.4253802
116a,MONCLOA-ARAVACA,9,92,ARGÜELLES,PLAZA DE ESPAÑA,S/N,24,-3.7117588,40.4240632
116b,MONCLOA-ARAVACA,9,92,ARGÜELLES,PLAZA DE ESPAÑA,S/N,24,-3.7118457,40.4241889
117,MONCLOA-ARAVACA,9,92,ARGÜELLES,CALLE DE ALTAMIRANO,24,24,-3.7189152,40.4309046
118,ARGANZUELA,2,26,PALOS DE MOGUER,CALLE DE JUAN MARTIN EL EMPECINADO,16,24,-3.688135,40.4007959
119,ARGANZUELA,2,27,ATOCHA,CALLE DE MENDEZ ALVARO,7,24,-3.6865777,40.4014567
120,ARGANZUELA,2,26,PALOS DE MOGUER,CALLE DE PALOS DE LA FRONTERA,27,24,-3.6947791,40.4030362
121,ARGANZUELA,2,26,PALOS DE MOGUER,PASEO DE SANTA MARIA DE LA CABEZA,58,24,-3.6986046,40.4018356
122,CHAMBERÍ,7,74,ALMAGRO,CALLE DE SANTA ENGRACIA,16,24,-3.6962626,40.429524
123,CHAMBERÍ,7,71,GAZTAMBIDE,CALLE DE GUZMAN EL BUENO,2,24,-3.7134685,40.4306386
124,CHAMBERÍ,7,73,TRAFALGAR,CALLE DE MANUEL SILVELA,18,24,-3.6993182,40.4308173
125,CHAMBERÍ,7,74,ALMAGRO,CALLE DE FERNANDEZ DE LA HOZ,29,24,-3.6948316,40.4353128
126,CHAMBERÍ,7,73,TRAFALGAR,CALLE DEL GENERAL ALVAREZ DE CASTRO,4,24,-3.7017424,40.4345672
127,CHAMBERÍ,7,72,ARAPILES,CALLE DE FERNANDO EL CATOLICO,19,24,-3.7083987,40.4339055
128,CHAMBERÍ,7,71,GAZTAMBIDE,CALLE DE CEA BERMUDEZ,59,27,-3.7155506,40.4390329
129,CHAMBERÍ,7,75,RÍOS ROSAS,CALLE DE JOSE ABASCAL,33,24,-3.6982818,40.4384684
130,CHAMBERÍ,7,75,RÍOS ROSAS,CALLE DE SANTA ENGRACIA,129,20,-3.7017071,40.4417195
131,CHAMBERÍ,7,75,RÍOS ROSAS,CALLE DE BRAVO MURILLO,44,24,-3.704022,40.4417543
132,CHAMBERÍ,7,75,RÍOS ROSAS,CALLE DE SANTA ENGRACIA,168,24,-3.7035911,40.4463889
133,TETUÁN,6,62,CUATRO CAMINOS,CALLE DE DULCINEA,3,24,-3.7000292,40.4471673
134,CHAMBERÍ,7,75,RÍOS ROSAS,CALLE DE MARIA DE GUZMAN,58,24,-3.6955114,40.444027
135,CHAMBERÍ,7,75,RÍOS ROSAS,PLAZA DE SAN JUAN DE LA CRUZ,S/N,24,-3.6928901,40.4414845
136,CHAMARTÍN,5,51,EL VISO,PASEO DE LA CASTELLANA,106,24,-3.6908127,40.4452833
137,CHAMARTÍN,5,51,EL VISO,PLAZA DE LA REPUBLICA ARGENTINA,6,24,-3.6852925,40.4454958
138,CHAMBERÍ,7,75,RÍOS ROSAS,PASEO DE LA CASTELLANA,108,24,-3.6915818,40.4456884
139,CHAMARTÍN,5,51,EL VISO,CALLE DE JOSE GUTIERREZ ABASCAL,S/N,24,-3.6904495,40.4393558
140,CHAMARTÍN,5,51,EL VISO,CALLE DE VELAZQUEZ,134,27,-3.6829045,40.438628
141,CHAMBERÍ,7,74,ALMAGRO,PASEO DE LA CASTELLANA,43,12,-3.6892902,40.4354253
142,SALAMANCA,4,46,CASTELLANA,PASEO DE LA CASTELLANA,S/N,24,-3.6880402,40.4335262
143,SALAMANCA,4,45,LISTA,CALLE DE DIEGO DE LEON,54,24,-3.6782355,40.434616
144,SALAMANCA,4,45,LISTA,CALLE DE JUAN BRAVO,50,24,-3.6754628,40.4323192
145,SALAMANCA,4,45,LISTA,CALLE DE JOSE ORTEGA Y GASSET,87,24,-3.671401,40.4297717
146,CHAMARTÍN,5,51,EL VISO,CALLE DE MARIA FRANCISCA,1,18,-3.67879,40.4442406
147,CHAMARTÍN,5,51,EL VISO,AVENIDA DEL DOCTOR ARCE,45,24,-3.6795811,40.4483353
148,CHAMARTÍN,5,51,EL VISO,CALLE DE SERRANO,210,24,-3.6816993,40.4510203
149,CHAMARTÍN,5,51,EL VISO,PASEO DE LA HABANA,42,24,-3.6878512,40.4498448
150,CHAMARTÍN,5,51,EL VISO,PASEO DE LA CASTELLANA,S/N,24,-3.690541,40.4491125
151,TETUÁN,6,62,CUATRO CAMINOS,CALLE DE ORENSE,10,24,-3.6952023,40.4488617
152,TETUÁN,6,62,CUATRO CAMINOS,AVENIDA DEL GENERAL PERON,4,24,-3.6989497,40.4527163
153,TETUÁN,6,62,CUATRO CAMINOS,AVENIDA DEL GENERAL PERON,36,24,-3.6930894,40.45235
154,TETUÁN,6,62,CUATRO CAMINOS,CALLE DE ORENSE,36,24,-3.6946736,40.4547769
155,TETUÁN,6,62,CUATRO CAMINOS,CALLE DE SAN GERMÁN,55,24,-3.700864,40.4572863
156,TETUÁN,6,63,CASTILLEJOS,CALLE DE SOR ANGELA DE LA CRUZ,2,24,-3.6913229,40.4592406
157,CHAMARTÍN,5,55,NUEVA ESPAÑA,PASEO DE LA CASTELLANA,S/N,24,-3.6893305,40.459282
158,CHAMARTÍN,5,54,HISPANOAMÉRICA,AVENIDA DE ALBERTO ALCOCER,22 A,24,-3.6847049,40.45862
159,CHAMARTÍN,5,54,HISPANOAMÉRICA,PASEO DE LA HABANA,63,24,-3.6837348,40.4542549
160,CHAMARTÍN,5,54,HISPANOAMÉRICA,CALLE DE COLOMBIA,7,24,-3.6766176,40.4571995
161,MONCLOA-ARAVACA,9,91,CASA DE CAMPO,PASEO DE LA FLORIDA,8,27,-3.7220624,40.4221372
162,ARGANZUELA,2,22,ACACIAS,PASEO DE LOS OLMOS,28,24,-3.7107559,40.4035176
163,ARGANZUELA,2,22,ACACIAS,PASEO DE LA ESPERANZA,2,21,-3.7064372,40.4036349
164,ARGANZUELA,2,25,DELICIAS,PASEO DE LAS DELICIAS,94,24,-3.6944851,40.3971366
165,ARGANZUELA,2,23,CHOPERA,PASEO DE LA CHOPERA,49,27,-3.6976134,40.3928841
166,CENTRO,1,11,PALACIO,CALLE DE SEGOVIA,21,24,-3.7133382,40.4139396
167,ARGANZUELA,2,21,IMPERIAL,CALLE DE SEGOVIA,47 A,24,-3.7176456,40.4137331
168,ARGANZUELA,2,26,PALOS DE MOGUER,PASEO DE SANTA MARIA DE LA CABEZA,32,24,-3.6959159,40.4045828
169,ARGANZUELA,2,22,ACACIAS,CALLE DE TOLEDO,181,24,-3.713846,40.401578
170,ARGANZUELA,2,22,ACACIAS,PASEO DE LA ESPERANZA,21,24,-3.704403,40.4011039
171,ARGANZUELA,2,25,DELICIAS,CALLE DE EMBAJADORES,97,24,-3.6984459,40.3997626
172,ARGANZUELA,2,26,PALOS DE MOGUER,CALLE DE BUSTAMANTE,1,24,-3.6935448,40.4008683
173,ARGANZUELA,2,22,ACACIAS,PASEO DE LA ESPERANZA,59,24,-3.7023615,40.3981757
174,ARGANZUELA,2,22,ACACIAS,PASEO DE LAS YESERIAS,8,27,-3.7063771,40.397417
175,ARGANZUELA,2,23,CHOPERA,CALLE DE JAIME EL CONQUISTADOR,30,21,-3.6983033,40.3962687
176,ARGANZUELA,2,25,DELICIAS,CALLE DE ALICANTE,3,24,-3.6936302,40.3942411
177,ARGANZUELA,2,25,DELICIAS,CALLE DE BOLIVAR,3,24,-3.694087,40.3915019
178,RETIRO,3,31,PACÍFICO,CALLE DE LEON GIL DE PALACIO,1,24,-3.6788939,40.4030242
179,PUENTE DE VALLECAS,13,132,SAN DIEGO,AUTOVIA M-30,S/N,24,-3.6690602,40.3979341
180,ARGANZUELA,2,27,ATOCHA,CALLE DE LA RETAMA,5,24,-3.6759244,40.3941252
181,RETIRO,3,34,IBIZA,CALLE DE IBIZA,18,27,-3.67664,40.4181748
182,RETIRO,3,33,ESTRELLA,CALLE DEL ALCALDE SAINZ DE BARANDA,90,24,-3.6655023,40.4187145
183,SALAMANCA,4,42,GOYA,CALLE DE HERMOSILLA,135,24,-3.6694506,40.4256358
184,SALAMANCA,4,43,FUENTE DEL BERRO,PASEO DEL MARQUES DE ZAFRA,24,24,-3.6653095,40.4260023
185,SALAMANCA,4,43,FUENTE DEL BERRO,GLORIETA DEL MARQUES DE ZAFRA,4,24,-3.661533,40.4250682
186,SALAMANCA,4,45,LISTA,CALLE DEL GENERAL PARDIÑAS,56,24,-3.6782783,40.429069
187,SALAMANCA,4,43,FUENTE DEL BERRO,CALLE DE ALEJANDRO GONZALEZ,1,24,-3.6638407,40.4301353
188,CIUDAD LINEAL,15,151,VENTAS,AVENIDA DE DAROCA,2,27,-3.6589062,40.4311658
189,CIUDAD LINEAL,15,154,CONCEPCIÓN,CALLE DE LA VIRGEN DE LA ALEGRIA,18,24,-3.6555431,40.4350206
190,SALAMANCA,4,46,CASTELLANA,CALLE DE VELAZQUEZ,91,24,-3.6834711,40.4343761
191,SALAMANCA,4,44,GUINDALERA,CALLE DE ALONSO HEREDIA,1,18,-3.6740365,40.4346168
192,SALAMANCA,4,44,GUINDALERA,AVENIDA DE LOS TOREROS,3,27,-3.6714315,40.431855
