ID-EVENTO,TITULO,PRECIO,GRATUITO,LARGA-DURACION,DIAS-SEMANA,DIAS-EXCLUIDOS,FECHA,FECHA-FIN,HORA,DESCRIPCION,CONTENT-URL,TITULO-ACTIVIDAD,URL-ACTIVIDAD,URL-INSTALACION,NOMBRE-INSTALACION,ACCESIBILIDAD-INSTALACION,CLASE-VIAL-INSTALACION,NOMBRE-VIA-INSTALACION,NUM-INSTALACION,DISTRITO-INSTALACION,same_as_distrito,BARRIO-INSTALACION,same_as_barrio,CODIGO-POSTAL-INSTALACION,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TIPO,AUDIENCIA
11768235,Eva Illouz y el fín del amor,Gratuito,1,0,,,2023-02-14T00:00:00Z,2023-02-14T23:59:00Z,19:30,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9b2cafbfa0423810VgnVCM1000001d4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,1,CALLE,CONDE DUQUE,9,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,28015,439759,4475508,40.42802889001877,-3.710182353581842,/contenido/actividades/ConferenciasColoquios,
11768127,Eva Neymann 'Pryvoz',"3,50 euros",0,0,,,2022-10-05T00:00:00Z,2022-10-05T23:59:00Z,20:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dfb8afbfa0423810VgnVCM1000001d4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,1,CALLE,CONDE DUQUE,9,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,28015,439759,4475508,40.42802889001877,-3.710182353581842,/contenido/actividades/ProgramacionDestacadaAgendaCultura,
11751181,Exit 'Il Sud',Gratuito,1,0,,,2022-10-08T00:00:00Z,2022-10-08T23:59:00Z,20:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a0a6302084d2810VgnVCM1000001d4a900aRCRD,Festival Internacional de Órgano y Música Barroca del Distrito de Vicálvaro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8af86302084d2810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9e73b069a541f010VgnVCM1000000b205a0aRCRD,Parroquia Santa María La Antigua,3,CALLE,VIRGEN DE LA ANTIGUA,9,Vicálvaro,https://wikidata.org/entity/Q589403,Casco Histórico de Vicálvaro,https://wikidata.org/entity/Q16544374,28032,448647,4472522,40.40172520926162,-3.6051665218853537,/contenido/actividades/Musica,
11772305,Exploring inner landscapes (Explorando paisajes interiores),5 euros,0,1,S,,2022-11-12T00:00:00Z,2022-11-19T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bc1afec79ff33810VgnVCM1000001d4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=80ddc8acadd56610VgnVCM2000001f4a900aRCRD,Espacio Abierto Quinta de los Molinos,"1,6",CALLE,JUAN IGNACIO LUCA DE TENA,20,San Blas,https://wikidata.org/entity/Q2001937,Salvador,https://wikidata.org/entity/Q10367095,28027,446636,4477644,40.44774002225867,-3.6292874542291638,/contenido/actividades/CursosTalleres,
11788976,EXPOSICION DE PINTURA. Libertad Abstracta,Gratuito,1,1,"L,M,X,J,V,S",,2022-09-19T00:00:00Z,2022-10-29T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=614d80b247483810VgnVCM2000001f4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d1ca1e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Príncipe de Asturias (Ciudad Lineal),"1,5,6",CALLE,HERMANOS GARCIA NOBLEJAS,14,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Pueblo Nuevo,https://wikidata.org/entity/Q71753,28037,445948,4476395,40.43644651057092,-3.6372924261150033,/contenido/actividades/Exposiciones,
11630658,Exposición permanente de las obras del escultor Andrés Lasanta,Gratuito,1,1,"L,M,X,J,V,S,D",,2022-01-01T00:00:00Z,2022-12-31T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b7acadcd279f710VgnVCM1000001d4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cce43d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Antonio Machado (San Blas - Canillejas),1,CALLE,SAN ROMÁN DEL VALLE,8,San Blas,https://wikidata.org/entity/Q2001937,Arcos,https://wikidata.org/entity/Q9627876,28037,447255,4474591,40.42027705095574,-3.621741078700336,/contenido/actividades/Exposiciones,
11785564,Exposición conmemorativa del IV Centenario de Canonización de San Isidro labrador,Gratuito,1,1,"L,M,X,J,V,S,D",12/10/2022;,2022-10-06T00:00:00Z,2022-10-31T23:59:00Z,18:30,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=78550dabe0a73810VgnVCM2000001f4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal Iván de Vargas (Centro),"1,6",CALLE,SAN JUSTO,5,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,28005,439775,4473962,40.41410290844665,-3.7098591212735883,/contenido/actividades/Exposiciones,
11782752,Exposición de Fotografía ` Proyectos Fotográficos´,Gratuito,1,1,"L,M,X,J,V,S",,2022-10-17T00:00:00Z,2022-10-31T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=04b3a9a918463810VgnVCM1000001d4a900aRCRD,Exposición de Fotografía  - `Proyectos Fotográficos´,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee32a9a918463810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=42753d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Sociocultural Bohemios (Villaverde),1,CALLE,LOS BOHEMIOS,1,Villaverde,https://wikidata.org/entity/Q919536,Los Ángeles,https://wikidata.org/entity/Q390462,28041,441066,4467547,40.35639654251886,-3.6940501846610894,/contenido/actividades/Exposiciones,
11782738,Exposición de Ilustraciones y  Tarot,Gratuito,1,1,"L,M,X,J,V,S",,2022-10-01T00:00:00Z,2022-10-15T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=18c1a9a918463810VgnVCM1000001d4a900aRCRD,Exposición de Ilustraciones y  Tarot,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e9a0a9a918463810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=42753d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Sociocultural Bohemios (Villaverde),1,CALLE,LOS BOHEMIOS,1,Villaverde,https://wikidata.org/entity/Q919536,Los Ángeles,https://wikidata.org/entity/Q390462,28041,441066,4467547,40.35639654251886,-3.6940501846610894,/contenido/actividades/Exposiciones,
11718612,Exposición de pintura de José Antonio Martinez Porras,Gratuito,1,1,"L,M,X,J,V,S,D",,2022-09-01T00:00:00Z,2022-10-31T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=733570f387f81810VgnVCM2000001f4a900aRCRD,Exposición de pintura de José Antonio Martinez Porras,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3d1470f387f81810VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b790e37de110f210VgnVCM1000000b205a0aRCRD,Centro Cultural José Luis López Vázquez (San Blas - Canillejas),2,CALLE,FEBRERO,4,San Blas,https://wikidata.org/entity/Q2001937,Rejas,https://wikidata.org/entity/Q10359029,28022,451431,4477509,40.446818592300296,-3.572741163820915,/contenido/actividades/Exposiciones,
