PK,NOMBRE,TRANSPORTE,ACCESIBILIDAD,CONTENT-URL,DIRECCION,wikidata_DIRECCION,TIPO-NUM,NUM,ORIENTACION,CODIGO-POSTAL,COD-BARRIO,BARRIO,wikidata_BARRIO,COD-DISTRITO,DISTRITO,wikidata_DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD
19960,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Arganzuela,"Metro: Méndez Álvaro (línea 6)Bus: 148, 102, 152",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8c3592355c51c010VgnVCM2000000c205a0aRCRD,CALLE ESTRELLA DENEBOLA,,V,5,,28045,5,Las Delicias,https://wikidata.org/entity/Q3773736,2,Arganzuela,https://wikidata.org/entity/Q2000929,442110,4471943,40.39419901357015,-3.6834210425750737
138166,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Barajas,"Metro: Barajas (línea 8)Bus: 105 , 115",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5fe55f463b81c010VgnVCM1000000b205a0aRCRD,CALLE ALHAURIN,,V,5,,28042,4,Timón,https://wikidata.org/entity/Q10382570,21,Barajas,https://wikidata.org/entity/Q807230,450367,4480523,40.473907649051704,-3.5855350682202047
135224,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Carabanchel,"Bus: 47 , 108 , 118",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a5165f463b81c010VgnVCM1000000b205a0aRCRD,CALLE CIDRO,,V,5,,28044,6,Buenavista,https://wikidata.org/entity/Q953929,11,Carabanchel,https://wikidata.org/entity/Q1001991,436678,4468888,40.36815527702884,-3.7458547551539705
13893,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Chamartín,"Bus: 7 , 11 , 40 , 52",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e9e65a0f8161c010VgnVCM1000000b205a0aRCRD,"Avenida de Alfonso XIII, Madrid",https://wikidata.org/entity/Q29397736,V,128,ENTRADA JUNTO GASOLINERA,28016,4,Hispanoamérica,https://wikidata.org/entity/Q3814573,5,Chamartín,https://wikidata.org/entity/Q1766348,443493,4478903,40.45887476564644,-3.6664670709154676
43200,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Ciudad Lineal,"Bus: 70 , 106",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0da9f0bde551c010VgnVCM2000000c205a0aRCRD,"Avenida de Daroca, Madrid",https://wikidata.org/entity/Q62107216,V,104,JUNTO AL CEMENTERIO DE LA ALMUDENA,28032,1,Ventas,https://wikidata.org/entity/Q71762,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,446583,4474581,40.41826330408995,-3.630928382853009
13890,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Fuencarral - El Pardo,"Metro: Avda. IlustraciónBus: 67 , 83 , 133 , 124",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=30175a0f8161c010VgnVCM1000000b205a0aRCRD,CALLE UBEDA,,V,6,C/V ISLA DE AROSA,28034,3,PEÑA GRANDE,,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,439385,4481739,40.48225121586361,-3.71646391915977
169981,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Hortaleza,Bus: 104,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=494129ea9281c010VgnVCM1000000b205a0aRCRD,CALLE TOMAS REDONDO,,V,8,,28033,6,Valdefuentes,https://wikidata.org/entity/Q10388714,16,Hortaleza,https://wikidata.org/entity/Q1928529,446782,4480121,40.47006424276577,-3.6277914577312402
67093,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Latina,"Bus: 119 , 138",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e2aa5cee4051c010VgnVCM2000000c205a0aRCRD,AVENIDA ANGEL SANZ BRIZ,,V,4,,28047,1,Los Cármenes,https://wikidata.org/entity/Q10319792,10,Latina,https://wikidata.org/entity/Q794954,437528,4472442,40.400246158259336,-3.7361726816379295
5568093,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Moncloa - Aravaca,"Bus: 83, 133",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f6df1a8633e96210VgnVCM2000000c205a0aRCRD,PASEO SENDA DEL REY,,V,0,ACCESO AVDA. PUERTA DE HIERRO SALIDA 6 A-6 FACULTAD DE VETERINARIA,28040,3,Ciudad Universitaria,https://wikidata.org/entity/Q3319235,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,437223,4478185,40.451963071822604,-3.7403391301631927
4910478,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Moratalaz,"Metro: Vinateros (línea 9)Bus: 30 , 32 , 71 , 113",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=67bc4d69197c9110VgnVCM1000000b205a0aRCRD,"Calle Arroyo de la Media Legua, Madrid",https://wikidata.org/entity/Q28935853,V,72,,28030,3,Marroquina,https://wikidata.org/entity/Q11935636,14,Moratalaz,https://wikidata.org/entity/Q2076109,444742,4473981,40.414609663505665,-3.6513204448781815
