City,Owner,Charging Station,Address,Longitude,Latitude,Number of connectors,Peripheral,Connector,Price,Cables Annotation,Bookable,Schedule,Time limit
ALCOBENDAS,Hampton by Hilton Alcobendas Madrid,Hampton by Hilton Alcobendas Madrid_-3.618301_40.534582,"Av. de Fernando Alonso, 4",-3.618301,40.534582,4,TYPE 2 7.40kW,TYPE 2 7.40kW_-3.618301_40.534582,,Necesita manguera tipo 2,No se puede reservar,,
ALCOBENDAS,"Hinober, Valgrande","Hinober, Valgrande_-3.6519976_40.537382","Calle Valgrande, 8",-3.6519976,40.537382,4,TYPE 2 3.70kW,TYPE 2 3.70kW_-3.6519976_40.537382,"0,2500 EUR/kWh",No,No se puede reservar,24 horas todos los días,
ALCOBENDAS,Hotel Amura Alcobendas,Hotel Amura Alcobendas_-3.641489_40.535981,"Av. de Valdelaparra, 2",-3.641489,40.535981,2,Schuko (EU Plug) 3.70kW,Schuko (EU Plug) 3.70kW_-3.641489_40.535981,Gratuito,No,No se puede reservar,24 horas todos los días,
ALCOBENDAS,Hotel Uve Alcobendas,Hotel Uve Alcobendas_-3.63473_40.53712,"Bulevar de Salvador Allende, 10",-3.63473,40.53712,1,TYPE 2 7.40kW,TYPE 2 7.40kW_-3.63473_40.53712,Gratuito,No,No se puede reservar,24 horas todos los días,
ALCOBENDAS,McDonalds Alcobendas,McDonalds Alcobendas_-3.656808_40.547812,"Calle del Marqués de la Valdavia, 140",-3.656808,40.547812,3,"TYPE 2 43.00kW
CHAdeMO 50.00kW
CCS2 50.00kW
","TYPE 2 43.00kW
CHAdeMO 50.00kW
CCS2 50.00kW
_-3.656808_40.547812",,Si tiene salvo Tipo 2,,,
ALCOBENDAS,Mercadona Alcobendas,Mercadona Alcobendas_-3.6587782_40.5236888,"Carr. de Fuencarral, ",-3.6587782,40.5236888,,TYPE 2 3.70kW,TYPE 2 3.70kW_-3.6587782_40.5236888,Gratuito,No,No se puede reservar,Comercial,
ALCOBENDAS,Mitsubishi,Mitsubishi_-3.65044_40.530222,"Calle de Francisco Gervás, 4",-3.65044,40.530222,1,TYPE 2 11.00kW,TYPE 2 11.00kW_-3.65044_40.530222,,No,No se puede reservar,8-13:30 14-19 L-V,
ALCOBENDAS,Moraleja Green (Tesla DC),Moraleja Green (Tesla DC)_-3.6575428_40.5186645,"Alcobendas Avenida de, ",-3.6575428,40.5186645,3,Tesla Dest.Charger 11.00kW,Tesla Dest.Charger 11.00kW_-3.6575428_40.5186645,Gratuito,Sí,No se puede reservar,"Lunes a jueves: 8:30am a 2:00am, viernes y vísperas festivos hasta 3:30am. Sábados: 9:00am a 3:30am. Domingos y festivos de apertura: 9:00am a 2:00am",
ALCOBENDAS,Nissan Ibericar Reicomsa Alcobendas,Nissan Ibericar Reicomsa Alcobendas_-3.6639_40.52089,"Calle de los Aragoneses, 18",-3.6639,40.52089,2,"CHAdeMO 50.00kW
Schuko (EU Plug) 3.70kW
","CHAdeMO 50.00kW
Schuko (EU Plug) 3.70kW
_-3.6639_40.52089",Gratuito,No,No se puede reservar,"L-J: 08:00 a 19:00, V: 08:00 a 18:00",
ALCOBENDAS,Parking Valportillo 20,Parking Valportillo 20_-3.653871_40.532161,"Calle Valportillo Primera, 20",-3.653871,40.532161,4,"TYPE 1 (SAE J1772) 3.70kW
TYPE 2 3.70kW
Schuko (EU Plug) 3.70kW
","TYPE 1 (SAE J1772) 3.70kW
TYPE 2 3.70kW
Schuko (EU Plug) 3.70kW
_-3.653871_40.532161",Gratuito,No,No se puede reservar,Lunes a Viernes 7AM a 7:30PM,
ALCOBENDAS,Rafaelhoteles Madrid Norte,Rafaelhoteles Madrid Norte_-3.62144_40.53507,"Av. de Barajas, 28",-3.62144,40.53507,2,"Tesla Dest.Charger 11.00kW
TYPE 2 22.00kW
","Tesla Dest.Charger 11.00kW
TYPE 2 22.00kW
_-3.62144_40.53507",,No,,24 horas todos los días,
ALCOBENDAS,Renault Autofer Alcobendas,Renault Autofer Alcobendas_-3.65477_40.546684,"Calle del Marqués de la Valdavia, 111",-3.65477,40.546684,2,TYPE 2 11.00kW,TYPE 2 11.00kW_-3.65477_40.546684,Gratuito,No,No se puede reservar,"L-V: 8.00 a 13.30 y 15.00 a 20:30, S: 9:00 a 14:00",
ALCOBENDAS,Saltoki Alcobendas,Saltoki Alcobendas_-3.648115_40.530784,"Carretera Fuencarral 46 km, 15",-3.648115,40.530784,1,TYPE 2 22.00kW,TYPE 2 22.00kW_-3.648115_40.530784,Exclusivo para clientes,No,No se puede reservar,Comercial,
ALCOBENDAS,Sede de Groupe Renault,Sede de Groupe Renault_-3.66149_40.51991,"Av. de Europa, 1",-3.66149,40.51991,22,"TYPE 2 22.00kW
Schuko (EU Plug) 3.70kW
TYPE 2 11.00kW
","TYPE 2 22.00kW
Schuko (EU Plug) 3.70kW
TYPE 2 11.00kW
_-3.66149_40.51991",Gratuito,No,Obligatorio,24 horas todos los días,
ALCOBENDAS,Acciona - Avenidad de Europa,Acciona - Avenidad de Europa_-3.656073_40.516553,"Avenida de Europa, 18",-3.656073,40.516553,2,TYPE 2 22.00kW,TYPE 2 22.00kW_-3.656073_40.516553,,No,,24 horas todos los días,
ALCOBENDAS,Acciona Agua,Acciona Agua_-3.65682_40.51569,"Av. de Europa, 20",-3.65682,40.51569,1,TYPE 2 22.00kW,TYPE 2 22.00kW_-3.65682_40.51569,,No,No se puede reservar,Laborables,
ALCOBENDAS,FCM,FCM_-3.6559595_40.5243333,"Calle de Francisco Chico Mendes, 1",-3.6559595,40.5243333,1,TYPE 2 7.40kW,TYPE 2 7.40kW_-3.6559595_40.5243333,,No,No se puede reservar,,
