City,Same_as_wikidata_city,Owner,Same_as_wikidata_Owner,Charging Station,Address,Longitude,Latitude,Number of connectors,Same_as_wikidata_N_Connector,Peripheral,Connector,Price,Same_as_wikidata_Price,Cables Annotation,Bookable,Schedule,Time limit
Alcobendas,https://www.wikidata.org/wiki/Q487679,Moraleja Green (Tesla DC),,Moraleja Green (Tesla DC)_-3.6575428_40.5186645,"Alcobendas Avenida de, ",-3.6575428,40.5186645,3,https://www.wikidata.org/wiki/Q201,Tesla Dest.Charger 11.00kW,Tesla Dest.Charger 11.00kW_-3.6575428_40.5186645,gratis,https://www.wikidata.org/wiki/Q1543615,Sí,No se puede reservar,"Lunes a jueves: 8:30am a 2:00am, viernes y vísperas festivos hasta 3:30am. Sábados: 9:00am a 3:30am. Domingos y festivos de apertura: 9:00am a 2:00am",
Alcobendas,https://www.wikidata.org/wiki/Q487679,Nissan,https://www.wikidata.org/wiki/Q20165,Nissan Ibericar Reicomsa Alcobendas_-3.6639_40.52089,"Calle de los Aragoneses, 18",-3.6639,40.52089,2,https://www.wikidata.org/wiki/Q200,"CHAdeMO 50.00kW
Schuko (EU Plug) 3.70kW
","CHAdeMO 50.00kW
Schuko (EU Plug) 3.70kW
_-3.6639_40.52089",gratis,https://www.wikidata.org/wiki/Q1543615,No,No se puede reservar,"L-J: 08:00 a 19:00, V: 08:00 a 18:00",
Alcobendas,https://www.wikidata.org/wiki/Q487679,Parking Valportillo 20,,Parking Valportillo 20_-3.653871_40.532161,"Calle Valportillo Primera, 20",-3.653871,40.532161,4,https://www.wikidata.org/wiki/Q202,"TYPE 1 (SAE J1772) 3.70kW
TYPE 2 3.70kW
Schuko (EU Plug) 3.70kW
","TYPE 1 (SAE J1772) 3.70kW
TYPE 2 3.70kW
Schuko (EU Plug) 3.70kW
_-3.653871_40.532161",gratis,https://www.wikidata.org/wiki/Q1543615,No,No se puede reservar,Lunes a Viernes 7AM a 7:30PM,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Rafaelhoteles Atocha,https://www.wikidata.org/wiki/Q111388622,Rafaelhoteles Madrid Norte_-3.62144_40.53507,"Av. de Barajas, 28",-3.62144,40.53507,2,https://www.wikidata.org/wiki/Q200,"Tesla Dest.Charger 11.00kW
TYPE 2 22.00kW
","Tesla Dest.Charger 11.00kW
TYPE 2 22.00kW
_-3.62144_40.53507",,,No,,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Renault,https://www.wikidata.org/wiki/Q6686,Renault Autofer Alcobendas_-3.65477_40.546684,"Calle del Marqués de la Valdavia, 111",-3.65477,40.546684,2,https://www.wikidata.org/wiki/Q200,TYPE 2 11.00kW,TYPE 2 11.00kW_-3.65477_40.546684,gratis,https://www.wikidata.org/wiki/Q1543615,No,No se puede reservar,"L-V: 8.00 a 13.30 y 15.00 a 20:30, S: 9:00 a 14:00",
Alcobendas,https://www.wikidata.org/wiki/Q487679,Saltoki Alcobendas,,Saltoki Alcobendas_-3.648115_40.530784,"Carretera Fuencarral 46 km, 15",-3.648115,40.530784,1,https://www.wikidata.org/wiki/Q199,TYPE 2 22.00kW,TYPE 2 22.00kW_-3.648115_40.530784,Exclusivo para clientes,,No,No se puede reservar,Comercial,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Renault,https://www.wikidata.org/wiki/Q6686,Sede de Groupe Renault_-3.66149_40.51991,"Av. de Europa, 1",-3.66149,40.51991,22,https://www.wikidata.org/wiki/Q712488,"TYPE 2 22.00kW
Schuko (EU Plug) 3.70kW
TYPE 2 11.00kW
","TYPE 2 22.00kW
Schuko (EU Plug) 3.70kW
TYPE 2 11.00kW
_-3.66149_40.51991",gratis,https://www.wikidata.org/wiki/Q1543615,No,Obligatorio,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Acciona,https://www.wikidata.org/wiki/Q339142,Acciona - Avenidad de Europa_-3.656073_40.516553,"Avenida de Europa, 18",-3.656073,40.516553,2,https://www.wikidata.org/wiki/Q200,TYPE 2 22.00kW,TYPE 2 22.00kW_-3.656073_40.516553,,,No,,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Acciona,https://www.wikidata.org/wiki/Q339142,Acciona Agua_-3.65682_40.51569,"Av. de Europa, 20",-3.65682,40.51569,1,https://www.wikidata.org/wiki/Q199,TYPE 2 22.00kW,TYPE 2 22.00kW_-3.65682_40.51569,,,No,No se puede reservar,Laborables,
Alcobendas,https://www.wikidata.org/wiki/Q487679,FCM,,FCM_-3.6559595_40.5243333,"Calle de Francisco Chico Mendes, 1",-3.6559595,40.5243333,1,https://www.wikidata.org/wiki/Q199,TYPE 2 7.40kW,TYPE 2 7.40kW_-3.6559595_40.5243333,,,No,No se puede reservar,,
