ERAR_PARAMETRO;Muestra 1_1;Muestra 2_1;Muesta 1_2;Muestra 2_2;Muestra 1_3;Muestra 2_3;Muestra 1_4;Muesta 2_4;Muestra 1_5;Muestra 2_5;Muestra 1_6;Muestra 2_6;Muestra 1_7;Muestra 2_7;Muestra 1_8;Muestra 2_8;Muestra 1_9;Muestra 2_9;Muestra 1_10;Muestra 2_10;Muestra 1_11;Muestra 2_11;Muestra 1_12;Muestra 2_12;Muestra 1_13;Muestra 2_13;Muestra 1_14;Muestra 2_14;Muestra 1_15;Muestra 2_15;Muestra 1_16;Muestra 2_16;Muestra 1_17;Muestra 2_17;Muestra 1_18;Muestra 2_18;Muestra 1_19;Muestra 2_19;Muestra 1_20;Muestra 2_20;Muestra 1_21;Muestra 2_21;Muestra 1_22;Muestra 2_22;Muestra 1_23;Muestra 2_23;Muestra 1_24;Muestra 2_24;Muestra 1_25;Muestra 2_25;Muesta 1_26;Muestra 2_26;Muestra 1_27;Muestra 2_27;Muestra 1_28;Muesta 2_28;Muestra 1_29;Muestra 2_29;Muestra 1_30;Muestra 2_30;Muestra 1_31;Muestra 2_31;Muestra 1_32;Muestra 2_32;Muestra 1_33;Muestra 2_33;Muestra 1_34;Muestra 2_34;Muestra 1_35;Muestra 2_35;Muestra 1_36;Muestra 2_36;Muestra 1_37;Muestra 2_37;Muestra 1_38;Muestra 2_38;Muestra 1_39;Muestra 2_39;Muestra 1_40;Muestra 2_40;Muestra 1_41;Muestra 2_41;Muestra 1_42;Muestra 2_42;Muestra 1_43;Muestra 2_43;Muestra 1_44;Muestra 2_44;Muestra 1_45;Muestra 2_45;Muestra 1_46;Muestra 2_46;Muestra 1_47;Muestra 2_47;Muestra 1_48;Muestra 2_48;Muestra 1_49;Muestra 2_49;Muestra 1_50;Muestra 2_50;Muestra 1_51;Muestra 2_51;Muestra 1_52;Muestra 2_52;;
CHI_SS;;<4;;<1;;<4;;<4;;<4;;<4;;<4;;<4;;<4;;<4;;<4;;<4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAV_SS;;<4;;<4;;<4;;<4;;5,1;;<4;;<4;;<4;;<4;;5,9;;<4;;<4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REJ_SS;;<4;;5,2;;6;;5,1;;7,3;;<4;;<4;;7,8;;<4;;<4;;<4;;<4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIV_Nem;;;;<1;;;;<1;;;;<1;;;;<1;;;;<1;;;;<1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHI_Nem;;;;<1;;;;<1;;;;<1;;;;<1;;;;<1;;;;<1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAV_Nem;;;;<1;;;;<1;;;;<1;;;;<1;;;;<1;;;;<1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REJ_Nem;;;;<1;;;;<1;;;;<1;;;;<1;;;;<1;;;;<1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1º quincena enero;;;;2º quincena enero;;;;1º quincena febrero;;;;2º quincena febrero;;;;1º quincena marzo;;;;2º quincena marzo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Muestra no realizada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ND;No detectado;;N.A.P.R.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
