PK;NOMBRE;PDF;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
302357;"Viviendas para Luis Ocharán Mazas";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302357.pdf?idEdificio=4d08f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=4d08f7d9560a4510f7d9560a45102e085a0aRCRD";"CABALLERO DE GRACIA";"Calle";"V";"21";"";"";"";"";"MADRID";"MADRID";"28013";"";"CORTES";"";"CENTRO";"440775";"4474507";"40.4190843632902";"-3.6981123266852105";"";"";"";""; 
302353;"Viviendas para Luis y Manuel Mitjans";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302353.pdf?idEdificio=cc08f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=cc08f7d9560a4510f7d9560a45102e085a0aRCRD";"CABALLERO DE GRACIA";"Calle";"V";"13";"";"";"";"";"MADRID";"MADRID";"28013";"";"CORTES";"";"CENTRO";"440688";"4474534";"40.41932139571109";"-3.6991402812861884";"";"";"";""; 
307317;"Viviendas para María Monasterio Arrillaga";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/307317.pdf?idEdificio=0818f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=0818f7d9560a4510f7d9560a45102e085a0aRCRD";"GRAN VIA";"Calle";"V";"36";"";"";"";"";"MADRID";"MADRID";"";"";"UNIVERSIDAD";"";"CENTRO";"440247";"4474664";"40.4204609465012";"-3.7043504121334347";"";"";"";""; 
302280;"Viviendas para Seguros La Estrella";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302280.pdf?idEdificio=aa08f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=aa08f7d9560a4510f7d9560a45102e085a0aRCRD";"GRAN VIA";"Calle";"V";"20";"";"";"";"";"MADRID";"MADRID";"28004";"";"JUSTICIA";"";"CENTRO";"440722";"4474829";"40.42010879230797";"-3.7000324985088477";"";"";"";""; 
302334;"Viviendas para Seguros La Estrella";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302334.pdf?idEdificio=cb08f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=cb08f7d9560a4510f7d9560a45102e085a0aRCRD";"GRAN VIA";"Calle";"V";"10";"";"";"";"";"MADRID";"MADRID";"28004";"";"JUSTICIA";"";"CENTRO";"440739";"4474574";"40.419685368324615";"-3.698542888220262";"";"";"";""; 
302282;"Viviendas para Tomás Allende";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302282.pdf?idEdificio=ea08f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=ea08f7d9560a4510f7d9560a45102e085a0aRCRD";"CABALLERO DE GRACIA";"Calle";"V";"1";"";"";"";"";"MADRID";"MADRID";"28013";"";"SOL";"";"CENTRO";"440513";"4474583";"40.41975031907702";"-3.701207530853102";"";"";"";""; 
302331;"Viviendas y comercio para Rafael Sánchez";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302331.pdf?idEdificio=6b08f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=6b08f7d9560a4510f7d9560a45102e085a0aRCRD";"CLAVEL";"Calle";"V";"4";"";"";"";"";"MADRID";"MADRID";"28013";"";"JUSTICIA";"";"CENTRO";"440780";"447480";"";"";"";"";"";""; 
307320;"Viviendas y comercios para Francisco Escriña";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/307320.pdf?idEdificio=6818f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=6818f7d9560a4510f7d9560a45102e085a0aRCRD";"GRAN VIA";"Calle";"V";"71";"";"";"";"";"MADRID";"MADRID";"";"";"PALACIO";"";"CENTRO";"439819";"4475149";"40.42291755243886";"-3.710706208243318";"";"";"";""; 
302083;"Viviendas y oficinas";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302083.pdf?idEdificio=0608f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=0608f7d9560a4510f7d9560a45102e085a0aRCRD";"GRAN VIA";"Calle";"V";"51";"";"";"";"";"MADRID";"MADRID";"28013";"";"PALACIO";"";"CENTRO";"439946";"4474743";"40.421150945618855";"-3.7079057135178797";"";"";"";""; 
302042;"Viviendas y oficinas";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302042.pdf?idEdificio=6308f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=6308f7d9560a4510f7d9560a45102e085a0aRCRD";"GRAN VIA";"Calle";"V";"80";"";"";"";"";"MADRID";"MADRID";"28015";"";"UNIVERSIDAD";"";"CENTRO";"439742";"4475004";"40.423487402817905";"-3.710334985725268";"";"";"";""; 
302086;"Viviendas y oficinas";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302086.pdf?idEdificio=6608f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=6608f7d9560a4510f7d9560a45102e085a0aRCRD";"GRAN VIA";"Calle";"V";"45";"";"";"";"";"MADRID";"MADRID";"";"";"PALACIO";"";"CENTRO";"439988";"4474711";"40.4208657051662";"-3.707407641201163";"";"";"";""; 
