ID-EVENTO,TITULO,DIAS-SEMANA,FECHA,FECHA-FIN,HORA,URL-INSTALACION,NOMBRE-INSTALACION,WIKIDATA:EVENTOS,ID-BIBLIOTECA
11818618,El árbol de los recuerdos,,2022-10-25 00:00:00.0,2022-10-25 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=338879262ef5d010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - José Hierro,https://wikidata.org/entity/Q85697922,115056
11817751,Encuentro con el poeta Teuco Castilla,,2022-10-20 00:00:00.0,2022-10-20 23:59:00.0,19:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal Iván de Vargas (Centro),,5975465
11786420,Escritoras a ritmo de rock,,2022-10-22 00:00:00.0,2022-10-22 23:59:00.0,12:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d862492de8c8c510VgnVCM2000001f4a900aRCRD,Biblioteca Pública Municipal - María Lejárraga,https://wikidata.org/entity/Q85697942,10395362
11786361,Escritoras a ritmo de rock,,2022-10-17 00:00:00.0,2022-10-17 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f05279262ef5d010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - Francisco Ayala,https://wikidata.org/entity/Q85697910,167128
11785564,Exposición conmemorativa del IV Centenario de Canonización de San Isidro labrador,"L,M,X,J,V,S,D",2022-10-06 00:00:00.0,2022-10-31 23:59:00.0,18:30,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal Iván de Vargas (Centro),,5975465
11786429,Exposición pictórica Asociación Aleph-Tea,"L,M,X,J,V",2022-09-19 00:00:00.0,2022-11-18 23:59:00.0,08:30,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=70d879262ef5d010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - José Saramago,https://wikidata.org/entity/Q85697927,1790
11804153,Falsos mitos de la alimentación,,2022-10-25 00:00:00.0,2022-10-25 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ca903d0b5e71c010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - Gerardo Diego,https://wikidata.org/entity/Q85697914,1748
11809161,"Family Reading Aloud at the Library: New York, New York",,2022-10-15 00:00:00.0,2022-10-15 23:59:00.0,12:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal Iván de Vargas (Centro),,5975465
11803876,Frondosín en El Retiro,,2022-10-21 00:00:00.0,2022-10-21 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - Eugenio Trías. Casa de Fieras de El Retiro,https://wikidata.org/entity/Q85697904,6893633
11602156,"Gru 3, mi villano favorito",,2022-10-21 00:00:00.0,2022-10-21 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=338879262ef5d010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - José Hierro,https://wikidata.org/entity/Q85697922,115056
11728785,Hablar de depresión es bueno,J,2022-10-13 00:00:00.0,2022-11-24 23:59:00.0,18:30,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e4bf3d0b5e71c010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal Gabriel García Márquez (Usera),,1754
11810247,Juego de rol 'Científicos',,2022-11-11 00:00:00.0,2022-11-11 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ca903d0b5e71c010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - Gerardo Diego,https://wikidata.org/entity/Q85697914,1748
11785047,La hora del cuento en  Mario Vargas LLosa,X,2022-10-05 00:00:00.0,2023-04-26 23:59:00.0,17:30,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c4dbc2658739410VgnVCM2000000c205a0aRCRD,Municipal Public Library Mario Vargas Llosa,https://wikidata.org/entity/Q63191732,7697128
11594640,La Hora del cuento en María Zambrano,M,2022-09-27 00:00:00.0,2023-05-16 23:59:00.0,17:30,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=74703d0b5e71c010VgnVCM1000000b205a0aRCRD,Municipal Public Library María Zambrano,https://wikidata.org/entity/Q85697944,1759
11804347,La hora del cuento: Maisy va a la biblioteca,,2022-10-25 00:00:00.0,2022-10-25 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=70d879262ef5d010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - José Saramago,https://wikidata.org/entity/Q85697927,1790
11804340,La música del 27 para danza,,2022-11-03 00:00:00.0,2022-11-03 23:59:00.0,19:30,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d482270f58c6c310VgnVCM2000000c205a0aRCRD,Biblioteca Musical Víctor Espinós,,"1882
"
11804339,La música galante y clásica en la corte del siglo XVIII,,2022-10-20 00:00:00.0,2022-10-20 23:59:00.0,19:30,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d482270f58c6c310VgnVCM2000000c205a0aRCRD,Biblioteca Musical Víctor Espinós,,"1882
"
11804342,La música masónica en España,,2022-11-17 00:00:00.0,2022-11-17 23:59:00.0,19:30,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d482270f58c6c310VgnVCM2000000c205a0aRCRD,Biblioteca Musical Víctor Espinós,,"1882
"
11764230,La puertas de Yuendumu,"L,M,X,J,V,S,D",2022-09-01 00:00:00.0,2022-10-31 23:59:00.0,08:30,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ec750a2153ef9210VgnVCM2000000c205a0aRCRD,Biblioteca Pública Municipal - Ángel González,https://wikidata.org/entity/Q85697883,5768564
11705960,La silla de Galdós,,2022-10-18 00:00:00.0,2022-10-18 23:59:00.0,19:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - Eugenio Trías. Casa de Fieras de El Retiro,https://wikidata.org/entity/Q85697904,6893633
11678622,Let's practice english!,M,2022-05-10 00:00:00.0,2024-12-31 23:59:00.0,18:30,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=70d879262ef5d010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - José Saramago,https://wikidata.org/entity/Q85697927,1790
11809112,Leyendo cuentos en inglés: Green eggs y One winter day,,2022-11-19 00:00:00.0,2022-11-19 23:59:00.0,12:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=83e748aaf535e710VgnVCM1000001d4a900aRCRD,Biblioteca Pública Municipal de San Fermín,https://wikidata.org/entity/Q111257503,11572165
11773861,Leyendo cuentos en inglés: I want my hat back y Oi Frog,,2022-10-26 00:00:00.0,2022-10-26 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=338879262ef5d010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - José Hierro,https://wikidata.org/entity/Q85697922,115056
11809111,Leyendo cuentos en inglés: Pink monster y That's not my dragon,,2022-11-24 00:00:00.0,2022-11-24 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d5c548d20675e010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - Pablo Neruda,https://wikidata.org/entity/Q85697951,186714
11773838,Leyendo cuentos en inglés: Pink monster y that´s not my dragon,,2022-10-21 00:00:00.0,2022-10-21 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=82ce995a8bf5d010VgnVCM2000000c205a0aRCRD,Biblioteca Pública Municipal - Ciudad Lineal,https://wikidata.org/entity/Q85697893,1794
11809108,Leyendo cuentos en inglés: Yellow Bird y  The three little pigs,,2022-11-05 00:00:00.0,2022-11-05 23:59:00.0,12:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d862492de8c8c510VgnVCM2000001f4a900aRCRD,Biblioteca Pública Municipal - María Lejárraga,https://wikidata.org/entity/Q85697942,10395362
11809110,Leyendo cuentos en inglés: Yellow Bird y The three little pigs,,2022-11-23 00:00:00.0,2022-11-23 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1f64c2c6e051c010VgnVCM2000000c205a0aRCRD,Biblioteca Pública Municipal - Gloria Fuertes,https://wikidata.org/entity/Q85697917,79941
11809116,Leyendo cuentos: La casa de Dorita y Monstruo azul,,2022-11-16 00:00:00.0,2022-11-16 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=74703d0b5e71c010VgnVCM1000000b205a0aRCRD,Municipal Public Library María Zambrano,https://wikidata.org/entity/Q85697944,1759
11776701,Leyendo cuentos: La flauta mágica y Los duendecillos,,2022-10-21 00:00:00.0,2022-10-21 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e4bf3d0b5e71c010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal Gabriel García Márquez (Usera),,1754
11809118,Leyendo cuentos: La semilla piloto y El pez arcoiris,,2022-11-18 00:00:00.0,2022-11-18 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c53e3d0b5e71c010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal David Gistau (Salamanca),,1762
11809117,Leyendo cuentos: La semilla piloto y El pez arcoiris,,2022-11-17 00:00:00.0,2022-11-17 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0fce3d0b5e71c010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - Francisco Ibañez,https://wikidata.org/entity/Q85697912,1760
11776677,Leyendo cuentos: Un dia de lluvia y Cirilo el cocodrilo,,2022-10-19 00:00:00.0,2022-10-19 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7f0e3d0b5e71c010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - Aluche,https://wikidata.org/entity/Q85697879,1757
11776691,Leyendo cuentos: Un dia de lluvia y Cirilo el cocodrilo Español,,2022-10-20 00:00:00.0,2022-10-20 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13ec3d0b5e71c010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - Benito Pérez Galdós,https://wikidata.org/entity/Q85697887,"1882
"
11776704,Leyendo cuentos:La flauta mágica y Los duendecillos,,2022-10-27 00:00:00.0,2022-10-27 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb9e995a8bf5d010VgnVCM2000000c205a0aRCRD,Biblioteca Pública Municipal - Canillejas,https://wikidata.org/entity/Q85697890,1745
11786542,Lo último que queda en la caja de Pandora es la esperanza,J,2022-10-06 00:00:00.0,2023-05-04 23:59:00.0,19:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - Eugenio Trías. Casa de Fieras de El Retiro,https://wikidata.org/entity/Q85697904,6893633
11809394,Los traductores: artífices de cultura universal,,2022-10-17 00:00:00.0,2022-10-17 23:59:00.0,19:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - Eugenio Trías. Casa de Fieras de El Retiro,https://wikidata.org/entity/Q85697904,6893633
11808016,Madrid otra mirada: Autoras teatrales,,2022-10-21 00:00:00.0,2022-10-21 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13ec3d0b5e71c010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - Benito Pérez Galdós,https://wikidata.org/entity/Q85697887,"1882
"
11781563,Mayores conectados,"L,M,X,J,V,S,D",2022-10-05 00:00:00.0,2022-11-04 23:59:00.0,16:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ec750a2153ef9210VgnVCM2000000c205a0aRCRD,Biblioteca Pública Municipal - Ángel González,https://wikidata.org/entity/Q85697883,5768564
11805907,Meditación para mejora tu calidad de vida,,2022-10-26 00:00:00.0,2022-10-26 23:59:00.0,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1f64c2c6e051c010VgnVCM2000000c205a0aRCRD,Biblioteca Pública Municipal - Gloria Fuertes,https://wikidata.org/entity/Q85697917,79941
11809830,Mesa redonda moderada por Inmaculada de la Fuente,,2022-10-17 00:00:00.0,2022-10-17 23:59:00.0,19:15,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal Iván de Vargas (Centro),,5975465
