Número,Gis_X,Gis_Y,Distrito,Barrio,Número de Plazas,Longitud,Latitud,Direccion,Nº Finca
211,"440400,99","4474680,19",01  CENTRO,01-05 UNIVERSIDAD,24,-3.7025369,40.4206168,CALLE DEL DESENGAÑO,3
212,"439193,57","4472197,09",11  CARABANCHEL,11-03 SAN ISIDRO,24,-3.7165313,40.3981605,GLORIETA DEL MARQUES DE VADILLO,9
213,"440574,99","4471162,08",12  USERA,12-05 MOSCARDÓ,24,-3.7001575,40.3889363,CALLE DE ANTONIO LOPEZ,129
214,"444286,32","4477179,51",15  CIUDAD LINEAL,15-05 SAN PASCUAL,24,-3.6569597,40.4434012,CALLE DE LA CONDESA DE VENADITO,2
215,"445631,32","4475647,64",15  CIUDAD LINEAL,15-02 PUEBLO NUEVO,24,-3.6409697,40.4296903,CALLE DE GUTIERRE DE CETINA,77
216,"438158,91","4473969,7",10  LATINA,10-02 PUERTA DEL ÁNGEL,24,-3.7288948,40.4140528,PLAZA DE LA PUERTA DEL ANGEL,3
217,"441592,41","4481374,08",08  FUENCARRAL-EL PARDO,08-05 LA PAZ,24,-3.6891094,40.4810028,CALLE DE PEDRO RICO,frente al 4
218,"444221,86","4473533,53",14  MORATALAZ,14-04 MEDIA LEGUA,24,-3.6573999,40.4105519,CALLE DEL CAMINO DE LOS VINATEROS,28
219,"445121,32","4473287,59",14  MORATALAZ,14-03 MARROQUINA,24,-3.6467783,40.4083961,CALLE DEL CAMINO DE LOS VINATEROS,108
220,"444725,09","4473041,7",14  MORATALAZ,14-04 MEDIA LEGUA,24,-3.6514264,40.4061548,CALLE DEL ARROYO DE LAS PILILLAS,frente al 4
221,"446141,03","4472399,01",14  MORATALAZ,14-01 PAVONES,24,-3.6346859,40.4004579,CALLE DE LA HACIENDA DE PAVONES,346
222,"440362,66","4471479,61",12  USERA,12-05 MOSCARDÓ,24,-3.7026887,40.3917816,CALLE DE EUGENIO CAXES,5
223,"438522,93","4473120,98",10  LATINA,10-01 CÁRMENES,24,-3.7245226,40.4064341,PASEO DE LA ERMITA DEL SANTO,48
224,438160,"4473395,7",10  LATINA,10-02 PUERTA DEL ÁNGEL,24,-3.7288262,40.408882,CALLE DE CARAMUEL,frente al 52
225,"443978,28","4472656,95",13  PUENTE DE VALLECAS,13-06 NUMANCIA,24,-3.6601933,40.4026388,CALLE DE LA SIERRA TOLEDANA,33
226,"443934,22","4472275,39",13  PUENTE DE VALLECAS,13-06 NUMANCIA,24,-3.6606789,40.3991986,CAMINO DE VALDERRIBAS,94
227,"443466,29","4471705,78",13  PUENTE DE VALLECAS,13-02 SAN DIEGO,24,-3.6661421,40.3940355,CALLE DEL ARROYO DEL OLIVAR,4
228,"439910,49","4471772,12",11  CARABANCHEL,11-01 COMILLA,24,-3.7080437,40.3943842,CALLE DE SAN DELFIN,9
229,"444985,82","4476472,45",15  CIUDAD LINEAL,15-04 CONCEPCIÓN,24,-3.6486507,40.4370782,CALLE DE JOSE DEL HIERRO,5
230,"444952,82","4477207,59",15  CIUDAD LINEAL,15-05 SAN PASCUAL,24,-3.6491034,40.4436986,CALLE DE CARLOTA O'NEILL,32
231,"444380,2","4476773,28",15  CIUDAD LINEAL,15-05 SAN PASCUAL,24,-3.6558172,40.439748,CALLE DE LOS DERECHOS HUMANOS,14
232,"444989,2","4476001,54",15  CIUDAD LINEAL,15-01 VENTAS,24,-3.6485701,40.4328362,CALLE DE JOSE MARIA PEREDA,1
233,"444381,95","4474904,65",15  CIUDAD LINEAL,15-01 VENTAS,24,-3.655633,40.4229144,AVENIDA DEL MARQUES DE CORBERA,12
234,"444767,03","4475262,41",15  CIUDAD LINEAL,15-01 VENTAS,24,-3.651125,40.426163,AVENIDA DEL MARQUES DE CORBERA,52
235,"441336,7","4471161,52",02  ARGANZUELA,02-04 LEGAZPI,24,-3.6911834,40.3889853,CALLE DEL SODIO,1 B
236,"439149,84","4473225,71",02  ARGANZUELA,02-01 IMPERIAL,24,-3.7171449,40.4074236,PASEO  IMPERIAL,20
237,"439751,68","4478101,98",06  TETUÁN,06-01 BELLAS VISTAS,24,-3.7105146,40.451395,CALLE DE FRANCISCO BALSEIRO,S/N
238,"441220,07","4478625,73",06  TETUÁN,06-02 CUATRO CAMINOS,24,-3.6932474,40.4562183,CALLE DE SAN GERMÁN,5
239,"439975,8","4478692,91",06  TETUÁN,06-06 BERRUGUETE,24,-3.7079276,40.4567345,CALLE DE FRANCOS RODRIGUEZ,62
240,"443939,09","4476439,76",04  SALAMANCA,04-04 GUINDALERA,24,-3.6609886,40.4367138,AVENIDA DE BRASILIA,frente al 9
241,"443363,99","4476559,86",04  SALAMANCA,04-04 GUINDALERA,24,-3.6677796,40.4377568,AVENIDA DE CAMILO JOSE CELA,23
242,"443778,78","4476746,49",04  SALAMANCA,04-04 GUINDALERA,24,-3.6629058,40.4394662,AVENIDA DE BRUSELAS,56
243,"443165,91","4476273,63",04  SALAMANCA,04-04 GUINDALERA,24,-3.6700894,40.4351648,CALLE DE CARTAGENA,38
244,"439144,97","4476825,45",07  CHAMBERÍ,07-06 VALLEHERMOSO,24,-3.7175468,40.4398513,CALLE DE ISAAC PERAL,44
245,"439767,36","4476444,58",07  CHAMBERÍ,07-02 ARAPILES,24,-3.7101726,40.4364656,CALLE DE GALILEO,63
246,"440693,2","4476388,4",07  CHAMBERÍ,07-03 TRAFALGAR,24,-3.699252,40.436026,CALLE DE SANTA ENGRACIA,87
247,"441238,82","4476643,99",07  CHAMBERÍ,07-05 RÍOS ROSAS,24,-3.692843,40.4383672,CALLE DE ZURBANO,90
248,"441694,11","4480631,92",08  FUENCARRAL-EL PARDO,08-05 LA PAZ,24,-3.6878414,40.4743243,CALLE DE SINESIO DELGADO,2
249,"441914,27","4481195,42",05  CHAMARTÍN,05-06 CASTILLA,24,-3.6852959,40.4794159,PASEO DE LA CASTELLANA,frente al 298
250,"441812,82","4476911,24",05  CHAMARTÍN,05-01 EL VISO,24,-3.6861,40.4408151,CALLE DE SERRANO,113 b
251,"443447,95","4477272,58",05  CHAMARTÍN,05-02 PROSPERIDAD,24,-3.6668532,40.444183,CALLE DE SANTA HORTENSIA,31
252,"442025,04","4480322,99",05  CHAMARTÍN,05-06 CASTILLA,24,-3.6839094,40.4715645,CALLE DE RODRIGUEZ JAEN,S/N
253,"441626,91","4478554,58",05  CHAMARTÍN,05-04 HISPANOAMÉRICA,24,-3.688443,40.455606,CALLE DEL DOCTOR FLEMING,7
254,"442639,53","4479150,36",05  CHAMARTÍN,05-05 NUEVA ESPAÑA,24,-3.6765549,40.4610436,AVENIDA DE PIO XII,3
255,"441910,45","4479454,04",05  CHAMARTÍN,05-05 NUEVA ESPAÑA,24,-3.6851815,40.4637286,CALLE DEL GENERAL LOPEZ POZAS,2
256,"439465,58","4477545,36",09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,24,-3.7138353,40.4463599,CALLE DE BEATRIZ DE BOBADILLA,frente al 2
257,"438063,25","4476718,06",09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,24,-3.73029,40.438804,AVENIDA DE JUAN DE HERRERA,1
258,"438326,14","4477849,84",09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,24,-3.7273004,40.449019,AVENIDA frente al COMPLUTENSE,frente al 14
259,"438344,78","4477338,89",09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,24,-3.727031,40.4444176,PLAZA DE RAMON Y CAJAL,S/N
260,"438328,53","4477762,41",09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,24,-3.7272637,40.4482316,CALLE DE JOSE ANTONIO NOVAIS,S/N
261,"438161,53","4478015,95",09  MONCLOA-ARAVACA,09-03 CIUDAD UNIVERSITARIA,24,-3.7292576,40.4505032,AVENIDA frente al COMPLUTENSE,frente al 7
