Número,Gis_X,Gis_Y,Distrito,Barrio,Número de Plazas,Longitud,Latitud,Direccion,Nº Finca
93,"441518,8","4475235,48",04  SALAMANCA,04-01 RECOLETOS,24,-3.6894124,40.4256984,CALLE DE GOYA,3
94,"441407,18","4474977,73",04  SALAMANCA,04-01 RECOLETOS,21,-3.6907044,40.4233686,PASEO DE RECOLETOS,22
95,"441721,55",4474897,04  SALAMANCA,04-01 RECOLETOS,24,-3.6869914,40.4226634,CALLE DE CLAUDIO COELLO,19
96,"442140,46","4474825,84",04  SALAMANCA,04-01 RECOLETOS,27,-3.6820471,40.4220516,CALLE DE ALCALA,111
97,"442301,64","4474872,66",04  SALAMANCA,04-02 GOYA,27,-3.6801515,40.4224846,AVENIDA DE MENENDEZ PELAYO,1
98,"442705,5","4475058,99",04  SALAMANCA,04-02 GOYA,24,-3.6754079,40.4241911,AVENIDA DE FELIPE II,5
99,"442829,62","4475270,48",04  SALAMANCA,04-02 GOYA,24,-3.6739638,40.4261048,CALLE DE ALCANTARA,2
100,"442835,81","4475123,85",04  SALAMANCA,04-02 GOYA,24,-3.6738777,40.4247843,CALLE DE GOYA,99
101,"443212,16","4474936,49",04  SALAMANCA,04-02 GOYA,24,-3.6694246,40.4231223,CALLE DE JORGE JUAN,131
102,"441967,18","4474727,67",04  SALAMANCA,04-01 RECOLETOS,24,-3.6840806,40.4211552,CALLE DE ALCALA,95
103,"441766,91","4475752,49",04  SALAMANCA,04-06 CASTELLANA,24,-3.6865351,40.4303733,CALLE DE JOSE ORTEGA Y GASSET,4
104,"441505,58","4475354,07",04  SALAMANCA,04-01 RECOLETOS,21,-3.6895792,40.4267658,PASEO DE LA CASTELLANA,4
105,"441684,37","4475386,27",04  SALAMANCA,04-01 RECOLETOS,24,-3.6874745,40.4270684,CALLE DE SERRANO,46
106 a,"441647,49","4475141,87",04  SALAMANCA,04-01 RECOLETOS,18,-3.6878868,40.4248642,CALLE DE SERRANO,32
106 b,"441649,86","4475157,87",04  SALAMANCA,04-01 RECOLETOS,18,-3.6878604,40.4250085,CALLE DE SERRANO,34
107,"441599,07","4474779,37",04  SALAMANCA,04-01 RECOLETOS,24,-3.6884243,40.4215952,CALLE DE SERRANO,8
108,"443111,6","4475416,83",04  SALAMANCA,04-02 GOYA,27,-3.670653,40.4274425,CALLE DE LAS MARTIRES CONCEPCIONISTAS,2
109,"442191,64","4475721,98",04  SALAMANCA,04-06 CASTELLANA,24,-3.6815253,40.4301281,CALLE DE JOSE ORTEGA Y GASSET,32
110,"438921,15","4476262,7",09  MONCLOA-ARAVACA,09-01 CASA DE CAMPO,24,-3.7201316,40.4347654,PASEO DE MORET,S/N
111 a,"439144,16","4476128,65",07  CHAMBERÍ,07-01 GAZTAMBIDE,24,-3.7174896,40.4335742,CALLE DEL ARCIPRESTE DE HITA,8
111 b,"439120,04","4476174,12",07  CHAMBERÍ,07-01 GAZTAMBIDE,24,-3.7177783,40.433982,CALLE DEL ARCIPRESTE DE HITA,12
112,"438517,07","4476028,6",09  MONCLOA-ARAVACA,09-02 ARGÜELLES,24,-3.7248727,40.4326267,PASEO DE MORET,11
113,"438865,35","4475484,09",09  MONCLOA-ARAVACA,09-01 CASA DE CAMPO,24,-3.7207145,40.4277472,PASEO DEL PINTOR ROSALES,frente 38
114,"439145,29","4475490,01",09  MONCLOA-ARAVACA,09-02 ARGÜELLES,24,-3.7174151,40.4278211,CALLE DE QUINTANA,13
115,"439181,48","4475218,76",09  MONCLOA-ARAVACA,09-02 ARGÜELLES,24,-3.7169626,40.4253802,PLAZA DEL MARQUES DE CERRALBO,S/N
116 a,"439621,73",4475069,09  MONCLOA-ARAVACA,09-02 ARGÜELLES,24,-3.7117588,40.4240632,PLAZA DE ESPAÑA,S/N
116 b,"439614,47","4475083,02",09  MONCLOA-ARAVACA,09-02 ARGÜELLES,24,-3.7118457,40.4241889,PLAZA DE ESPAÑA,S/N
117,"439020,83","4475833,31",09  MONCLOA-ARAVACA,09-02 ARGÜELLES,24,-3.7189152,40.4309046,CALLE DE ALTAMIRANO,24
118,"441605,64","4472470,47",02  ARGANZUELA,02-06 PALOS DE MOGUER,24,-3.688135,40.4007959,CALLE DE JUAN MARTIN EL EMPECINADO,16
119,"441738,36","4472542,79",02  ARGANZUELA,02-07 ATOCHA,24,-3.6865777,40.4014567,CALLE DE MENDEZ ALVARO,7
120,"441043,78","4472723,55",02  ARGANZUELA,02-06 PALOS DE MOGUER,24,-3.6947791,40.4030362,CALLE DE PALOS DE LA FRONTERA,frente 27
121,"440718,1","4472592,85",02  ARGANZUELA,02-06 PALOS DE MOGUER,24,-3.6986046,40.4018356,PASEO DE SANTA MARIA DE LA CABEZA,58
122,"440941,06","4475664,68",07  CHAMBERÍ,07-04 ALMAGRO,24,-3.6962626,40.429524,CALLE DE SANTA ENGRACIA,16
123,"439482,59","4475800,04",07  CHAMBERÍ,07-01 GAZTAMBIDE,24,-3.7134685,40.4306386,CALLE DE GUZMAN EL BUENO,2
124,"440683,01","4475810,28",07  CHAMBERÍ,07-03 TRAFALGAR,24,-3.6993182,40.4308173,CALLE DE MANUEL SILVELA,18
125,"441067,49","4476306,28",07  CHAMBERÍ,07-04 ALMAGRO,24,-3.6948316,40.4353128,CALLE DE FERNANDEZ DE LA HOZ,29
126,"440480,69","4476228,15",07  CHAMBERÍ,07-03 TRAFALGAR,24,-3.7017424,40.4345672,CALLE DEL GENERAL ALVAREZ DE CASTRO,4
127,"439915,53","4476159,21",07  CHAMBERÍ,07-02 ARAPILES,24,-3.7083987,40.4339055,CALLE DE FERNANDO EL CATOLICO,19
128,"439313,53","4476733,24",07  CHAMBERÍ,07-01 GAZTAMBIDE,24,-3.7155506,40.4390329,CALLE DE CEA BERMUDEZ,59
128 ampliacion,"439301,59","4476734,02",07  CHAMBERÍ,07-01 GAZTAMBIDE,3,-3.7156915,40.4390391,CALLE DE CEA BERMUDEZ,59
129,"440777,63","4476658,85",07  CHAMBERÍ,07-05 RÍOS ROSAS,24,-3.6982818,40.4384684,CALLE DE JOSE ABASCAL,33
130,"440489,99","4477022,03",07  CHAMBERÍ,07-05 RÍOS ROSAS,20,-3.7017071,40.4417195,CALLE DE SANTA ENGRACIA,129
131,"440293,7","4477027,45",07  CHAMBERÍ,07-05 RÍOS ROSAS,24,-3.704022,40.4417543,CALLE DE BRAVO MURILLO,44
132,"440334,34","4477541,61",07  CHAMBERÍ,07-05 RÍOS ROSAS,24,-3.7035911,40.4463889,CALLE DE SANTA ENGRACIA,168
133,"440637,08","4477625,61",06  TETUÁN,06-02 CUATRO CAMINOS,24,-3.7000292,40.4471673,CALLE DE DULCINEA,3
134,"441017,45","4477274,01",07  CHAMBERÍ,07-05 RÍOS ROSAS,24,-3.6955114,40.444027,CALLE DE MARIA DE GUZMAN,58
135,"441237,54","4476990,04",07  CHAMBERÍ,07-05 RÍOS ROSAS,24,-3.6928901,40.4414845,PLAZA DE SAN JUAN DE LA CRUZ,S/N
136,"441417,02","4477410,33",05  CHAMARTÍN,05-01 EL VISO,24,-3.6908127,40.4452833,PASEO DE LA CASTELLANA,106
137,"441885,33","4477430,27",05  CHAMARTÍN,05-01 EL VISO,24,-3.6852925,40.4454958,PLAZA DE LA REPUBLICA ARGENTINA,6
138,"441352,15","4477455,81",07  CHAMBERÍ,07-05 RÍOS ROSAS,24,-3.6915818,40.4456884,PASEO DE LA CASTELLANA,frente 108
139,"441442,67","4476752,13",05  CHAMARTÍN,05-01 EL VISO,24,-3.6904495,40.4393558,CALLE DE JOSE GUTIERREZ ABASCAL,S/N
140,"442081,95","4476666,37",05  CHAMARTÍN,05-01 EL VISO,24,-3.6829045,40.438628,CALLE DE VELAZQUEZ,134
140 ampliación,"442081,16","4476654,37",05  CHAMARTÍN,05-01 EL VISO,3,-3.6829127,40.4385198,CALLE DE VELAZQUEZ,134
141,"441537,59","4476315,08",07  CHAMBERÍ,07-04 ALMAGRO,12,-3.6892902,40.4354253,PASEO DE LA CASTELLANA,43
142,"441641,97","4476103,45",04  SALAMANCA,04-06 CASTELLANA,24,-3.6880402,40.4335262,PASEO DE LA CASTELLANA,S/N
143,"442474,52","4476217,99",04  SALAMANCA,04-05 LISTA,24,-3.6782355,40.434616,CALLE DE DIEGO DE LEON,54
144,"442707,74","4475961,24",04  SALAMANCA,04-05 LISTA,24,-3.6754628,40.4323192,CALLE DE JUAN BRAVO,50
145,"443050,11","4475675,85",04  SALAMANCA,04-05 LISTA,24,-3.671401,40.4297717,CALLE DE JOSE ORTEGA Y GASSET,87
146,"442435,7","4477286,68",05  CHAMARTÍN,05-01 EL VISO,18,-3.67879,40.4442406,CALLE DE MARIA FRANCISCA,1
147,"442372,1","4477741,71",05  CHAMARTÍN,05-01 EL VISO,24,-3.6795811,40.4483353,AVENIDA DEL DOCTOR ARCE,45
148,"442194,78","4478041,13",05  CHAMARTÍN,05-01 EL VISO,24,-3.6816993,40.4510203,CALLE DE SERRANO,210
149,"441672,11","4477914,69",05  CHAMARTÍN,05-01 EL VISO,24,-3.6878512,40.4498448,PASEO DE LA HABANA,42
150,"441443,38","4477835,19",05  CHAMARTÍN,05-01 EL VISO,24,-3.690541,40.4491125,PASEO DE LA CASTELLANA,S/N
151,"441047,89","4477810,45",06  TETUÁN,06-02 CUATRO CAMINOS,24,-3.6952023,40.4488617,CALLE DE ORENSE,10
152,"440733,5","4478240,82",06  TETUÁN,06-02 CUATRO CAMINOS,24,-3.6989497,40.4527163,AVENIDA DEL GENERAL PERON,frente 4
153,"441230,1","4478196,25",06  TETUÁN,06-02 CUATRO CAMINOS,24,-3.6930894,40.45235,AVENIDA DEL GENERAL PERON,frente 36
154,"441097,89","4478466,69",06  TETUÁN,06-02 CUATRO CAMINOS,24,-3.6946736,40.4547769,CALLE DE ORENSE,36
155,"440575,2","4478749,38",06  TETUÁN,06-02 CUATRO CAMINOS,24,-3.700864,40.4572863,CALLE DE SAN GERMÁN,55
156,"441385,88","4478959,93",06  TETUÁN,06-03 CASTILLEJOS,24,-3.6913229,40.4592406,CALLE DE SOR ANGELA DE LA CRUZ,2
157,"441554,84","4478963,2",05  CHAMARTÍN,05-05 NUEVA ESPAÑA,24,-3.6893305,40.459282,PASEO DE LA CASTELLANA,S/N
158,"441946,46","4478886,67",05  CHAMARTÍN,05-04 HISPANOAMÉRICA,24,-3.6847049,40.45862,AVENIDA DE ALBERTO ALCOCER,22 A
159,"442024,96","4478401,51",05  CHAMARTÍN,05-04 HISPANOAMÉRICA,24,-3.6837348,40.4542549,PASEO DE LA HABANA,63
160,"442630,95","4478723,71",05  CHAMARTÍN,05-04 HISPANOAMÉRICA,24,-3.6766176,40.4571995,CALLE DE COLOMBIA,7
161,"438745,93","4474862,31",09  MONCLOA-ARAVACA,09-01 CASA DE CAMPO,24,-3.7220624,40.4221372,PASEO DE LA FLORIDA,8
161 ampliacion,"438754,04","4474853,3",09  MONCLOA-ARAVACA,09-01 CASA DE CAMPO,3,-3.7219659,40.4220566,PASEO DE LA FLORIDA,6
162,"439688,47","4472787,76",02  ARGANZUELA,02-02 ACACIAS,24,-3.7107559,40.4035176,PASEO DE LOS OLMOS,28
163,"440055,04","4472797,85",02  ARGANZUELA,02-02 ACACIAS,21,-3.7064372,40.4036349,PASEO DE LA ESPERANZA,"0,083333333"
164,"441063,58","4472068,5",02  ARGANZUELA,02-05 DELICIAS,24,-3.6944851,40.3971366,PASEO DE LAS DELICIAS,94
165,"440794,37","4471598,57",02  ARGANZUELA,02-03 CHOPERA,27,-3.6976134,40.3928841,PASEO DE LA CHOPERA,frente 49
166,"439478,68","4473946,37",01  CENTRO,01-01 PALACIO,24,-3.7133382,40.4139396,CALLE DE SEGOVIA,21
167,"439113,04","4473926,4",02  ARGANZUELA,02-01 IMPERIAL,24,-3.7176456,40.4137331,CALLE DE SEGOVIA,47 A
