PuntoRecargaID,PUNTORECARGAPERTENECEDIST,DISTPERTENECEBARRIO,COORDONNES,XCoord,YCoord,COD_DIS,DISTRITO,wikidata_distrito,COD_BAR,BARRIO,wikidata_barrio,UBICACION,EMPLAZAMIE,INFO_ADICI,N_EQUIPO,POTENCIA,CONECTOR CC,CONECTOR AC,OPERADOR
38015733,56665150,2069221,54168438,443790.17210000,4467889.65440000,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,1,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,Parcela D.2.1 Anexo avenida de legazpi,Mercamadrid,-,2,50,2,1,DRIVE THE CITY
37109229,99463350,94738462,84528187,443986.28170000,4468371.29410000,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,1,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,Parcela E4 Anexo Avda Legazpi,Mercamadrid,-,1,50,2,1,DRIVE THE CITY
81989704,72510543,10126771,31898200,443061.52140000,4467834.86880000,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,1,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,Parcela B14 Anexo Calle 3,Mercamadrid,-,1,50,2,1,GIC (CIRCUTOR)
44386704,43101624,78701093,18201969,442444.53010000,4474433.54000000,3,Retiro,https://wikidata.org/entity/Q2002296,4,Ibiza,https://wikidata.org/entity/Q15249910,Calle Ibiza 1,Vía pública,-,1,50,2,1,REPSOL
70000914,96992621,25286053,28384904,441289.71000000,4474176.65980000,3,Retiro,https://wikidata.org/entity/Q2002296,5,Jerónimos,https://wikidata.org/entity/Q10306766,Plaza de la Lealtad. s/n,Vía pública,-,1,50,2,1,GIC
62019561,30940857,65164143,47741527,438101.26000000,4469380.78000000,11,Carabanchel,https://wikidata.org/entity/Q1001991,6,Buenavista,https://wikidata.org/entity/Q953929,Calle Hilario Herranz Establos. 20,Estación de servicio,-,1,50,2,1,ENDESA
70451142,31988740,76371873,74446046,439003.67000000,4475684.86000000,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,2,Argüelles,https://wikidata.org/entity/Q64874,Calle Marqués de Urquijo. 27,Aparcamiento,Aparcamiento privado rotación,1,50,2,1,ENDESA
21902685,92997381,97475273,94755630,439248.70000000,4465309.95000000,17,Villaverde,https://wikidata.org/entity/Q919536,1,"Villaverde Alto, Casco Histórico de Villaverde",https://wikidata.org/entity/Q390435,Calle Valle de Tobalina. 24 (ES Ballenoil),Estación de servicio,-,1,50,2,1,IBERDROLA
61926250,71343784,42234785,49663616,440347.65000000,4477839.43000000,6,Tetuán,https://wikidata.org/entity/Q1773540,2,Cuatro Caminos,https://wikidata.org/entity/Q5824684,Calle Bravo Murillo. 122,Aparcamiento,Mercado Municipal,2,50,2,1,DRIVE THE CITY
50510366,85954633,11906195,4234453,440927.55000000,4469462.70000000,12,Usera,https://wikidata.org/entity/Q953368,2,Orcasur,https://wikidata.org/entity/Q10341270,Calle de Eduardo Barreiros. 2 (On rent),Aparcamiento,Aparcamiento privado rotación,1,50,2,1,ENDESA
65016994,30534397,65011477,44187037,441045.96000000,4468677.05000000,12,Usera,https://wikidata.org/entity/Q953368,2,Orcasur,https://wikidata.org/entity/Q10341270,Carretera A-4. P.K. 6.70 D,Estación de servicio,-,1,50,2,1,REPSOL
13330094,82486187,43563244,8553889,443786.93000000,4480466.05000000,16,Hortaleza,https://wikidata.org/entity/Q1928529,5,Apóstol Santiago,https://wikidata.org/entity/Q11906303,Avenida de San Luis. 77,Aparcamiento,-,1,50,2,1,NATURGY
67535595,81419401,35989108,44068472,443843.34000000,4467592.54000000,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,1,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,Calle 29. Mercamadrid,Aparcamiento,-,3,50,2,1,DRIVE THE CITY
80917163,12216340,43727257,2132096,444202.22000000,4478730.31000000,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,7,Colina,https://wikidata.org/entity/Q18475981,Calle Arturo Soria. 175,Estación de servicio,-,1,50,2,1,REPSOL
66117687,72935190,37411706,76723492,444355.29000000,4476807.18000000,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,5,San Pascual,https://wikidata.org/entity/Q165612,Calle Verdaguer y Garcia. 5,Aparcamiento,Aparcamiento privado rotación,1,50,2,1,ENDESA
33808858,92837074,54642588,97041203,444688.00000000,4473174.18000000,14,Moratalaz,https://wikidata.org/entity/Q2076109,3,Marroquina,https://wikidata.org/entity/Q11935636,Glorieta Corregidor Sancho de Córdoba S/N,Estación de servicio,-,1,50,2,1,REPSOL
15441459,40428960,33166401,23723570,446962.63000000,4476913.48000000,20,San Blas,https://wikidata.org/entity/Q2001937,1,Simancas,https://wikidata.org/entity/Q10371626,Calle Alcalá. 510,Estación de servicio,-,1,50,2,1,REPSOL
89169946,77997244,70937473,14800204,450102.96000000,4468607.43000000,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,3,Ensanche de Vallecas,https://wikidata.org/entity/Q3847485,Calle Alto del Retiro. s/n,Estación de servicio,-,1,50,2,1,ENDESA
88269817,84828054,28837389,28380229,450281.09000000,4477078.14000000,20,San Blas,https://wikidata.org/entity/Q2001937,6,Rejas,https://wikidata.org/entity/Q10359029,Calle Deyanira. 10,Aparcamiento,-,1,50,2,1,NATURGY
42626629,65271787,37941334,44812038,451189.45000000,4477428.74000000,20,San Blas,https://wikidata.org/entity/Q2001937,6,Rejas,https://wikidata.org/entity/Q10359029,Calle Nanclares de Oca. 5-17,Aparcamiento,-,2,50,2,1,IBERDROLA
59621512,86945885,9010641,31899730,444372.20000000,4468663.38780000,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,1,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,Avenida Eje Central. 7,Estación de servicio,-,1,50,2,1,NATURGY
35709694,40012729,45095035,40165414,441265.93150000,4475256.83140000,1,Centro,https://wikidata.org/entity/Q1763376,4,Justicia,https://wikidata.org/entity/Q1992319,Calle Génova 24,Vía pública,-,1,50,2,1,GIC
36310658,18662401,94159446,58510186,441420.45860000,4479879.97660000,6,Tetuán,https://wikidata.org/entity/Q1773540,4,Almenara,https://wikidata.org/entity/Q2265427,Calle San Aquilino. 1 B,Aparcamiento,Iniciativa privada,2,50,2,0,IBERDROLA
1907605,36699276,74165661,71819942,442609.18750000,4476593.96760000,5,Chamartín,https://wikidata.org/entity/Q1766348,2,Prosperidad,https://wikidata.org/entity/Q4776,Avenida de América 9 A. planta -3,Aparcamiento,Iniciativa privada,2,50,2,0,IBERDROLA
28880243,11040447,98459520,13940718,443799.34470000,4467813.07320000,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,Avda. de Madrid - Aparcamiento Este del Mercado Central de Pescados (Parcela C2),Mercamadrid, ,2,50,2,1, 
14577588,31373351,46628962,62863324,443840.59290000,4467591.35910000,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,Calle 29. Mercamadrid,Aparcamiento,Iniciativa privada,1,180,2,0,DRIVE THE CITY
