XCoord;YCoord;COD_DIS;DISTRITO;COD_BAR;BARRIO;UBICACIÓN;EMPLAZAMIE;INFO_ADICI;Nº_EQUIPO;CARACTERÍ;OPERADOR;POINT_X;POINT_Y
443805,23000000;4483684,43000000;08;Fuencarral - El Pardo;6;Valverde;Calle del Abetal 8;Estación de servicio;-;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;443805,230000;4483684,430000
435728,68000000;4479193,77000000;09;Moncloa - Aravaca;3;Ciudad Universitaria;CRED HIpodromoCR A-6  P.K. 8,00 D (avda Padre Huidobro sn);Estación de servicio;-;1;50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;435728,680000;4479193,770000
430479,36000000;4480122,57000000;09;Moncloa - Aravaca;6;El Plantío;A6 - Avenida Victoria 34 (Cred el Plantio);Estación de servicio;-;1;50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;430479,360000;4480122,570000
432896,01000000;4470164,94000000;10;Latina;6;Cuatro Vientos;Cred A5 PK 9;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;432896,010000;4470164,940000
434997,82000000;4468934,81000000;10;Latina;6;Cuatro Vientos;Avenida de la Peseta 6;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;434997,820000;4468934,810000
434762,24000000;4469976,18000000;10;Latina;7;Águilas;Calle de José de Cadalso 51;Aparcamiento;Mercado Municipal;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;DRIVE THE CITY;434762,240000;4469976,180000
446350,62000000;4470558,49000000;13;Puente de Vallecas;4;Palomeras Sureste;Avenida de la Albufera 319;Aparcamiento;Aparcamiento privado rotación;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ECOLINERAS;446350,620000;4470558,490000
443849,63000000;4483208,55000000;16;Hortaleza;6;Valdefuentes;Avenida María de Portugal 15;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;IBERDROLA;443849,630000;4483208,550000
443195,30000000;4465688,69000000;17;Villaverde;3;Butarque;Avda. de los Rosales 147 M-301 km 4,1;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;443195,300000;4465688,690000
448693,92000000;4469672,14000000;18;Villa de Vallecas;3;Ensanche de Vallecas;Avenida Real de Arganda 74;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;448693,920000;4469672,140000
451967,11000000;4477750,54000000;20;San Blas - Canillejas;6;Rejas;Barajas II A2 Km 12,6;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;451967,110000;4477750,540000
440341,55000000;4474015,14000000;01;Centro;6;Sol;Plaza de Jacinto Benavente 6;Aparcamiento;Aparcamiento público rotación. EMT;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;EMT;440341,550000;4474015,140000
441474,08000000;4475110,19000000;04;Salamanca;1;Recoletos;Jardines del Descubrimiento - Acceso a Complejo de Aparcamientos subterráneos por Calle de la Armada Española;Vía pública;Aparcamiento público rotación. EMT;4;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;EMT;441474,080000;4475110,190000
442391,20000000;4475742,85000000;04;Salamanca;5;Lista;Plaza de Marqués de Salamanca;Aparcamiento;Aparcamiento público rotación. EMT;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;EMT;442391,200000;4475742,850000
442442,16000000;4480402,50000000;05;Chamartín;6;Castilla;Calle Hiedra 36;Aparcamiento;Aparcamiento público rotación. EMT;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;EMT;442442,160000;4480402,500000
439744,74850000;4473589,83990000;01;Centro;1;Palacio;Plaza de la Cebada;Aparcamiento;Iniciativa privada;1;50 kW 2 conectores CC (CCS/Chademo);DRIVE THE CITY;439744,748500;4473589,839900
439914,74000000;4475692,23000000;01;Centro;5;Universidad;Calle Alberto Aguilera 9;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo);REPSOL;439914,740000;4475692,230000
443198,96000000;4473071,62000000;03;Retiro;2;Adelfas;Plaza del Conde de Casal 6;Aparcamiento;Aparcamiento privado rotación. Iniciativa privada;2;50 kW 2 conectores CC (CCS/Chademo);DRIVE THE CITY;443198,960000;4473071,620000
441485,27000000;4484580,97000000;08;Fuencarral - El Pardo;8;El Goloso;Calle del Monasterio de Arlanza, 20 (Centro Comercial Montecarmelo);Aparcamiento;Aparcamiento privado rotación. Iniciativa privada;2;50 kW 2 conectores CC (CCS/Chademo);IBERDROLA;441485,270000;4484580,970000
