PuntoRecargaID,PUNTORECARGAPERTENECEDIST,DISTPERTENECEBARRIO,COORDONNES,XCoord,YCoord,COD_DIS,DISTRITO,COD_BAR,BARRIO,UBICACIÓN,EMPLAZAMIE,INFO_ADICI,Nº_EQUIPO,POTENCIA,CONECTOR CC,CONECTOR AC,OPERADOR
28341982,58970235,57498058,24620322,"438893,73000000","4473226,26000000",02,Arganzuela,1,Imperial,Calle Chulapos s/n,Vía pública,-,1,50 kW, 2 ,1,REPSOL
38133680,17049726,30882538,11358264,"440624,23000000","4473016,22000000",02,Arganzuela,6,Palos de Moguer,Ronda de Valencia 1,Vía pública,-,1,50 kW, 2 ,1,GIC
43761027,41852577,23710148,72169203,"442701,58000000","4472363,01000000",03,Retiro,2,Adelfas,Calle Cerro de la Plata 4,Vía pública,-,1,50 kW, 2 ,1,GIC
74347265,30287535,85215124,14065813,"441553,76000000","4474522,81000000",03,Retiro,5,Jerónimos,"Calle Alfonso XII, 2",Vía pública,-,1,50 kW, 2 ,1,REPSOL
15942326,87185162,32704702,78232963,"442227,27000000","4475141,53000000",04,Salamanca,1,Recoletos,Calle Goya 36,Vía pública,-,1,50 kW, 2 ,1,GIC
1322319,36736140,4373479,89992529,"443066,59000000","4475108,89000000",04,Salamanca,2,Goya,Calle Goya 123,Vía pública,-,1,50 kW, 2 ,1,REPSOL
50448459,72140311,85169525,13638996,"442261,15000000","4476262,44000000",04,Salamanca,6,Castellana,Calle Castelló 105,Vía pública,-,1,50 kW, 2 ,1,GIC
46790495,82132703,25301542,64418224,"443112,64990000","4476133,98000000",04,Salamanca,4,Guindalera,"Plaza de San Cayetano, s/n",Aparcamiento,Mercado Municipal,1,50 kW, 2 ,1,ENDESA
56583322,82368638,42420176,16002570,"434058,48920000","4469583,39020000",10,Latina,6,Cuatro Vientos,"Calle Sinfonia, 9 (ES Ballenoil Aviación)",Estación de servicio,-,1,50 kW, 2 ,1,DRIVE THE CITY
61420304,78236243,93054598,18982837,"443390,46000000","4478901,39000000",05,Chamartín,4,Hispanoamérica,"Avenida Alfonso XIII, esquina, Costa Rica",Estación de servicio,Aparcamiento público rotación. EMT,1,50 kW, 2 ,1,REPSOL
33942956,64850521,41388117,43573726,"442015,28000000","4475633,05000000",04,Salamanca,6,Castellana,Calle Velázquez 74,Vía pública,-,1,50 kW, 2 ,1,REPSOL
17206840,22119083,69637256,88807712,"441650,00000000","4476325,00000000",04,Salamanca,6,Castellana,Paseo Castellana 52,Vía pública,-,1,50 kW, 2 ,1,REPSOL
26134263,1892675,17934084,90719819,"441420,49000000","4477426,85000000",05,Chamartín,1,El Viso,Paseo Castellana 106,Vía pública,-,1,50 kW, 2 ,1,REPSOL
5151616,39027162,26445315,90453299,"441528,45000000","4478870,20000000",05,Chamartín,4,Hispanoamérica,Paseo Castellana 160,Vía pública,-,1,50 kW, 2 ,1,REPSOL
54559974,43054499,6435715,29413204,"443204,66000000","4479841,35000000",05,Chamartín,6,Castilla,Calle Cardenal Marcelo Spínola 6,Vía pública,-,1,50 kW, 2 ,1,GIC
56398206,29962078,54483916,75461750,"439847,45000000","4476302,27000000",07,Chamberí,2,Arapiles,Calle Fernández de los Ríos 42,Vía pública,-,1,50 kW, 2 ,1,REPSOL
83738287,17334603,35010298,31277972,"440038,83000000","4475778,21000000",07,Chamberí,2,Arapiles,Plaza del Conde de Valle de Suchil,Vía pública,-,1,50 kW, 2 ,1,REPSOL
99484,84509716,39033175,45665372,"440694,00000000","4475775,00000000",07,Chamberí,3,Trafalgar,Calle Manuel Silvela 16,Vía pública,-,1,50 kW, 2 ,1,GIC
