tipo_establecimiento,tipo_titularidad,municipio_codigo,municipio_nombre,same_as_wikidata_municipio,direccion_establecimiento,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_piso,direccion_puerta,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso,codigo_dea
Otros,Privada,115,Pozuelo de Alarcon,https://wikidata.org/entity/Q639422,CALLE Virgilio 2  ,CALLE,Virgilio,2,,,28223,ENTRADA EDIFICIO 4 AMPER SA,432910,4472396,,2021-113
Centro educativo,Publica,079,Madrid,https://wikidata.org/entity/Q2807,CALLE de Torregalindo 10  ,CALLE,Torregalindo,10,,,28016,INSTITUTO NACIONAL DE ARTES ESCENICAS Y MUSICA CENTRO DE TECNOLOGIA DEL ESPECTACULO,443287,4479224,7:00 a 23:00,2021-114
Instalaciones de transporte,Publica,065,Getafe,https://wikidata.org/entity/Q8802,CALLE del Greco 2  ,CALLE,Greco,2,,,28904,DENTRO DE LA ESTACION DE METRO ALONSO DE MENDOZA EN EL VESTIBULO,437429,4461399,,2018-3185
Establecimiento dependiente de una Administracion Publica,Publica,148,Torrejon de Ardoz,https://wikidata.org/entity/Q489839,AVIA Nacional II 0  ,AVIA,Nacional II,0,,,28850,SEGURIDAD L-03 INSTITUTO NACIONAL TECNOLOGIA AEROESPACIAL,459666,4482041,24H,2021-178
Otros,Privada,005,Alcala de Henares,https://wikidata.org/entity/Q46940,CALLE CIMODIN SL -  ,CALLE,CIMODIN SL,-,,,28850,,471769,4483532,,2021-279
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,https://wikidata.org/entity/Q2807,CALLE de Prim 10  ,CALLE,Prim,10,,,28004,BARQUILLO ,441197,4474787,,2021-301
Establecimiento hotelero con mas de 100 plazas,Privada,047,Collado Villalba,https://wikidata.org/entity/Q735759,CTRA de Navacerrada KM1.37  ,CTRA,Navacerrada,KM1.37,,,28400,FC HOTELES S.L.U. ,414857,4500232,24 HORAS 365 DIAS,2021-308
Centro de trabajo con mas de 250 trabajadores,Privada,079,Madrid,https://wikidata.org/entity/Q2807,PASEO de la Castellana 95 0 ,PASEO,Castellana,95,0,,28046,Ubicado en el hall principal del edificio Torre Europa C.P. PASEO DE LA CASTELLANA 95,441368,4478123,,2021-357
Otros,Privada,005,Alcala de Henares,https://wikidata.org/entity/Q46940,CALLE Louis Pasteur 2  ,CALLE,Louis Pasteur,2,,,28806,NP ENTRADA EN LA ZONA DE CONTROL ,467324,4482471,7-20,2020-219
Otros,Privada,079,Madrid,https://wikidata.org/entity/Q2807,CALLE de Zamarramala 51  ,CALLE,Zamarramala,51,,,28034,HALL ,441625,4482590,24H,2021-399
