codigo_dea,tipo_titularidad,municipio_nombre,direccion_establecimiento,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso
2017-38,Pública,Madrid,CALLE de Ríos Rosas 23 BAJA ,28003,INSTITUTO GEOLÓGICO Y MINERO DE ESPAÑA JUNTO AL SERVICIO MÉDICO,440663,4477077,24 HORAS
2017-55,Pública,Boadilla del Monte,CALLE de Isabel II 26  ,28660,JUZGADO DE PAZ EN EL HALL DE ENTRADA,425269,4473564,DE 8:00 A 16:00 DE LUNES A VIERNES
2017-56,Pública,Boadilla del Monte,CALLE de Juan Carlos I 42  ,28660,SEDE ADMINISTRATIVA DEL AYUNTAMIENTO EN EL HALL DE ENTRADA,425413,4473275,24 HORAS  365 DIAS
2017-57,Pública,Boadilla del Monte,CALLE del Convento 10  ,28660,BIBLIOTECA MUNICIPAL LA MILLONARIA EN EL HALL DE ENTRADA,425577,4473257,DE LUNES A VIERNES DE 9:00 A 22:00
2017-58,Pública,Boadilla del Monte,AVDA SEDE INSTITUCIONAL DEL AYUNTAMIENTO. HALL DE ENTRADA S/N  ,28660,AVENIDA DE ADOLFO SUAREZ S/N,425598,4473109,DE LUNES A VIERNES DE 2:00 A 20:00
2017-119,Pública,Navalcarnero,PLAZA de Francisco Sandoval Caballero 1  ,28600,AYUNTAMIENTO DE NAVALCARNERO EN EL HALL DE ENTRADA,413706,4460531,9:00 A 14:00 HORAS
2017-121,Pública,Navalcarnero,PLAZA del Teatro s/n  ,28600,POLICÍA LOCAL ,413855,4460388,
2017-129,Pública,Navalcarnero,CALLE del Río Ebro s/n  ,28600,PABELLÓN CUBIERTO LA ESTACIÓN HALL DE RECEPCIÓN,414399,4460907,SEGÚN ACTIVIDADES
2017-130,Pública,Navalcarnero,CALLE Juan Antonio Zenón S/N  ,28600,POLIDEPORTIVO MUNICIPAL EL PIJORRO ,413304,4460258,9:00 A 23:00
2017-135,Pública,Coslada,CALLE de la Virgen del Mar S/N baja ,28821,ENTRADA POR AVENIDA DEL PLANTÍO. EN ANTESALA DE ASEOS PROFESORES I.E.S. LUIS GARCÍA BERLANGA (Coslada),452271,4475706,LUNES A JUEVES 8:30 A 18:00. VIERNES 8:30 A 14:30
2017-160,Pública,Madrid,CALLE de Nicolás Cabrera 1  ,28049,CENTRO DE BIOLOGÍA MOLECULAR SEVERO OCHOA CAMPUS UAM CANTOBLANCO . CAMPUS UAM ENTRADA PRINCIPAL CBM,441455,4488971,8:00 A 18:00 HORAS
2017-173,Pública,Madrid,CALLE de Maqueda 8  ,28024,ESCUELA POLITÉCNICA GINER CENTRO ESPAÑOL DE TECNOLOGÍA APLICACA,435023,4471800,
2017-175,Pública,Madrid,AVDA de Puerta de Hierro 1  ,28040,FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID,437616,4477626,
2017-176,Pública,Madrid,AVDA de Puerta de Hierro 1  ,28040,FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID,437616,4477626,
2017-177,Pública,Madrid,AVDA de Puerta de Hierro 1  ,28040,FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID,437616,4477626,
2017-178,Pública,Madrid,AVDA de Puerta de Hierro 1  ,28040,FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID,437616,4477626,
2017-3,Pública,Pinto,CALLE Sur S/N  ,28320,ESTADIO RAMÓN MENDOZA HALL PRINCIPAL JUNTO A PUERTA LATERAL DE CONSERJERÍA,440475,4454152,DE 9:00 A 23:00
2017-6,Pública,Pinto,CALLE Sevilla S/N  ,28320,POLIDEPORTIVO PATRICIA CHAMORRO JUNTO A CONSERJERÍA,441232,4454909,08:00 A 22:00
2017-51,Pública,Madrid,PLAZA de Carlos Trias Bertrán 7 7 ,28020,SERVICIO MADRILEÑO DE SALUD (SERMAS) ,441164,4478014,
2017-110,Pública,Madrid,CALLE del Poeta Joan Maragall 53 BAJA ,28020,SOCIEDAD ESTATAL LOTERÍAS Y APUESTAS DEL ESTADO SA PLANTA BAJA. HALL DE ENTRADA. CENTRO DE SEGURIDAD,441358,4479432,24 HORAS
2017-111,Pública,Madrid,CALLE de Manuel Tovar 13 BAJA ,28034,SOCIEDAD ESTATAL LOTERÍAS Y APUESTAS DEL ESTADO SA PLANTA BAJA. HALL DE ENTRADA. GARITA DE SEGURIDAD.,441860,4482050,24 HORAS
2017-113,Pública,Madrid,CALLE de Xaudaró 15 BAJA ,28034,SOCIEDAD ESTATAL LOTERÍAS Y APUESTAS DEL ESTADO PLANTA BAJA. HALL DE ENTRADA. GARITA DE SEGURIDAD,441404,4482303,24 HORAS
2017-114,Pública,Madrid,AVDA de los Poblados 183  ,28041,CPPEE JOAN MIRÓ ,440840,4469177,
2017-127,Pública,Navalcarnero,CALLE del Río Nalón   ,28600,ESTADIO DE FÚTBOL MARIANO GONZÁLEZ EN PASILLO DE SALIDA AL TERRENO DE JUEGO,413439,4459835,SEGÚN ACTIVIDADES
2017-193,Pública,Madrid,CALLE de Nicolás Cabrera 13  ,28049,ENTRADA DEL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS (CSIC),441800,4488974,8:00 A 18:00 HORAS
2017-194,Pública,Madrid,CALLE de la Castellana 75  ,28032,OFICINA ESPAÑOLA DE PATENTES Y MARCAS PLANTA BAJA. EN GARITA DE SERVICIO DE VIGILANCIA,441213,4477669,15 HORAS
2017-195,Pública,Madrid,CALLE de la Castellana 75 8 ,28032,OFICINA ESPAÑOLA DE PATENTES Y MARCAS PLANTA 8. SERVICIO MÉDICO,441213,4477669,15 HORAS
2017-5,Pública,Pinto,CALLE de la Buena Vista S/N  ,28320,POLIDEPORTIVO ALBERTO CONTADOR EN EL PASILLO PRINCIPAL DEL EDIFICIIO DE AULAS,440494,4455151,08:00 A 22:00
2017-28,Pública,Pinto,CALLE Juana Francés 63  ,28320,BIBLIOTECA MUNICIPAL JAVIER LA PEÑA HALL PRINCIPAL DE ENTRADA. JUNTO A CONSERJERÍA,440315,4456403,08:00 A 22:00
2017-29,Pública,Pinto,PLAZA de la Constitución S/N  ,28320,EDIFICIO DE POLICÍA LOCAL HALL PRINCIPAL DE ENTRADA,440383,4454741,24 HORAS
2017-65,Pública,Sevilla la Nueva,CALLE Ruiseñor 1-3  ,28609,CEIP ANTÓN SEVILLANO ,412555,4466589,
2017-116,Pública,Madrid,AVDA de Badajoz 76  ,28027,C.P.E.E. INFANTA ELENA RECEPCIÓN,444890,4477193,9:30 A 16:00
2017-120,Pública,Navalcarnero,CALLE del Pozo del Concejo 9  ,28600,CENTRO TERCERA EDAD EN EL HALL DE ENTRADA,413772,4460110,10:00 A 13:00 Y 15:30 A 20:00
2017-126,Pública,Navalcarnero,CALLE de Monteclaro s/n  ,28600,CEIP FELIPE IV HALL DE ENTRADA,413507,4460644,HORARIO LECTIVO
2017-128,Pública,Navalcarnero,CALLE de Camilo José Cela s/n  ,28600,CAMPO DE FÚTBOL LOS MANZANOS EN LA ENTRADA A VESTUARIOS,412992,4459745,9:00 A 23:00
2017-8,Pública,Pinto,CALLE Asturias s/n  ,28320,PISTAS MUNICIPALES DE TENIS JUNTO A MOSTRADOR DE CONSERJERÍA,441258,4456164,09:00 A 21:00
2017-20,Pública,Pinto,CALLE Italia 6  ,28320,EDIFICIO CONCEJALÍA EDUCACIÓN HALL PRINCIPAL DE ENTRADA,440932,4455914,08:00 A 20:00
2017-21,Pública,Pinto,CALLE Francisco Bores S/N  ,28320,ESCUELA MUNICIPAL DE MÚSICA HALL DE ENTRADA FRENTE MOSTRADOR ATENCIÓN PÚBLICO,440554,4456429,16:00A 22:00
2017-25,Pública,Pozuelo de Alarcón,PASEO del Príncipe 3  ,28223,RADIOTELEVISIÓN MADRID PLANTA 0 JUNTO A HALL DE RECEPCÍÓN,433091,4472101,
2017-63,Pública,Boadilla del Monte,AVDA de Isabel de Farnesio 16  ,28660,AUDITORIO. ESCUELA DE MÚSICA Y DANZA EN EL HALL DE ENTRADA,424721,4472840,DE LUNES A SÁBADO DE 8:00 A 21:00
2017-64,Pública,Boadilla del Monte,AVDA de Isabel de Farnesio 33  ,28660,BIBLIOTECA MUNICIPAL JOSÉ ORTEGA Y GASSET EN EL HALL DE ENTRADA,424974,4472408,L A V DE 9:00 A 22:00. S Y D: DE 10:00 A 22:00
2017-75,Pública,Boadilla del Monte,CALLE de Federico García Lorca 4  ,28660,COLEGIO FEDERICO GARCÍA LORCA EN EL HALL DE ENTRADA DEL EDIFICIO DE SECRETARIA,423876,4473337,DE 8:00 A 18:00 DE LUNES A VIERNES
2017-76,Pública,Boadilla del Monte,CALLE de Gutiérrez Soto 12  ,28660,COLEGIO ÁGORA EN EL HALL DE ENTRADA,424084,4472645,DE 8:00 A 18:00 DE LUNES A VIERNES
2017-77,Pública,Boadilla del Monte,CALLE de Tomás Bretón 4  ,28660,COLEGIO TERESA DE BERGANZA HALL DE ENTRADA DEL EDIFICIO PRINCIPAL,424795,4472847,DE 8:00 A 18:00 DE LUNES A VIERNES
2017-78,Pública,Boadilla del Monte,CALLE Islas Cíes S/N  ,28660,COLEGIO JOSÉ BERGAMÍN EN EL HALL DE ENTRADA,424927,4476183,
2017-79,Pública,Boadilla del Monte,CALLE de Juan Carlos I 40  ,28660,COLEGIO PRÍNCIPE DON FELIPE EN EL HALL DE ENTRADA DEL EDIFICIO PRINCIPAL,425466,4473322,DE 8:00 A 18:00 DE LUNES A VIERNES
2017-122,Pública,Navalcarnero,CALLE del Cuartel 9  ,28600,PUESTO DE LA GUARDIA CIVIL DE NAVALCARNERO ,414073,4460318,
2017-124,Pública,Navalcarnero,CALLE de Luis Zapata 3  ,28600,CEIP CARLOS RUIZ EN EL HALL DE ENTRADA,414116,4460179,HORARIO LECTIVO
2017-138,Pública,Torrejón de Ardoz,CALLE Cristal 2  ,28850,C.E.I.P. LA GAVIOTA ,460321,4478132,DE L A V NO FESTIVOS DE 9:00 A 16:00 HORAS
2017-141,Pública,San Martín de la Vega,AVDA de Nuestra Señora de la Vega 6  ,28330,C.E.I.P. JORGE GUILLÉN EN LA SALA DE PROFESORES,450497,4451401,7:00 A 20:30
2017-14,Pública,Pinto,CALLE de Santa Teresa s/n  ,28320,PABELLÓN DEPORTIVO PARQUE PINTO ENTRADA PRINCIPAL JUNTO A LA CONSERJERÍA,440882,4454496,09:00 A 22:00
2017-17,Pública,Pinto,TRVA del Prado s/n  ,28320,PISCINA MUNICIPAL ENTRADA PRINCIPAL JUNTO A BOTIQUÍN,441201,4455983,09:00 A 22:00
2017-19,Pública,Pinto,CALLE de las Alpujarras s/n  ,28320,TEATRO FRANCISCO RABAL HALL PRINCIPAL JUNTO A ACCESO BUTACAS PARES,441007,4454866,SEGUN CARTELERA Y ACTOS
2017-59,Pública,Boadilla del Monte,CALLE de Victoria Eugenia de Battenberg 10  ,28660,CENTRO DE FORMACIÓN MUNICIPAL EN EL HALL DE ENTRADA,424947,4473594,DE LUNES A VIERNES DE 8:00 A 21:00
2017-60,Pública,Boadilla del Monte,CALLE de Francisco Alonso 2  ,28660,CENTRO DE EMPRESAS EN EL HALL DE ENTRADA,425123,4472591,DE L A V DE 8:00 A 21:00 SABADOS DE 9:00 A 13:00
2017-61,Pública,Boadilla del Monte,CALLE de los Mártires 1  ,28660,BIBLIOTECA CENTRAL MUNICIPAL EN EL HALL DE ENTRADA,425693,4473237,DE LU A V 9:00 A 21:00 Y SABADOS 10:00 A 13:45
2017-62,Pública,Boadilla del Monte,CALLE de Francisco Asenjo Barbieri 2  ,28660,CASA DE LA JUVENTUD E INFANCIA EN EL HALL DE ENTRADA,424666,4472804,DE L A V DE 8:00 A 21:00 Y SABADOS DE 10:00 A 14:00 Y DE 17:00 A 21:00
2017-86,Pública,Alcalá de Henares,CMNO el Olivar 2 BAJA ,28806,CEIP FRANCISCO TOMÁS Y VALIENTE VESTÍBULO PLANTA BAJA,458850,4469534,DE 7:00 A 19:00 HORAS
2017-102,Pública,Madrid,AVDA de Cantabria 52  ,28042,"CENTRO DE INVESTIGACIÓN Y CONTROL DE LA CALIDAD. AGENCIA ESPAÑOLA DE CONSUMO, SEGURIDAD ALIMENTARIA Y NUTRICIÓN",450591,4478948,HORARIO LABORAL DE LA AGE
2017-107,Pública,Madrid,CTRA del Barrio de la Fortuna s/n  ,,AENA SME SA ENTRADA DE EDIFICIO TERMINAL,433726,4468955,DE 6:00 A24:00
2017-230,Pública,Coslada,AVDA de los Príncipes de España 8  ,28823,CENTRO DE MAYORES LA RAMBLA. AYUNTAMIENTO COSLADA EN LA CONSERJERÍA,453229,4475243,L A V DE 10 A 21 S Y D 10 A 14 Y 16:30 20:30
2017-231,Pública,Coslada,CALLE del Poniente 19  ,28823,CENTRO DE MAYORES LA CAÑADA. AYUNTAMIENTO COSLADA EN LA CAFETERÍA,454284,4475298,L A V 10 A 21 S Y D 10 A 14 Y 16:30 A 20:30
2017-236,Pública,Aldea del Fresno,PLAZA Constitución 7  ,28620,DISPOSITIVO MÓVIL. EN EL COCHE DE LA POLICIA LOCAL AYUNTAMIENTO DE ALDEA DEL FRESNO,397789,4464489,24H
2017-323,Pública,Madrid,CALLE del Hierro 27  ,28045,PUESTO DE INFORMACIÓN DE LA OFICINA AGENCIA TRIBUTARIA DE MADRID,441400,4471346,DE 8 A 17
2017-324,Pública,Madrid,CALLE de Raimundo Fernández Villaverde 32  ,28003,PUESTO DE CONTROL DE LA OFICINA ORGANISMO AUTÓNOMO AGENCIA TRIBUTARIA DE MADRID,440731,4477507,DE 8 A 17
2017-293,Pública,Madrid,CALLE de Maudes 17  ,28003,"HALL DE ENTRADA. SECRETARÍA GENERAL TÉCNICA CONSEJERÍA DE TRANSPORTES, VIVIENDA E INFRAESTRUCTURAS",440544,4477443,
2017-326,Pública,Madrid,CALLE del Sacramento 1  ,28005,PUESTO DE CONTROL DE SEGURIDAD ORGANISMO AUTÓNOMO AGENCIA TRIBUTARIA DE MADRID,439708,4473987,8 A 17
2017-359,Pública,"Rozas de Madrid, Las",CMNO Garzo 79  ,28290,EN SERVICIO MÉDICO DE POLIDEPORTIVO MUNICIPAL SAN JOSÉ DE LAS MATAS. AYUNTAMIENTO DE LAS ROZAS,424966,4489677,8 A 22:30
2018-20,Pública,Madrid,CALLE de Valdebernardo 2  ,28030,CENTRO DEPORTIVO MUNICIPAL MORATALAZ.HALL DE ENTRADA AYTO. MORATALAZ,446330,4472168,
2018-24,Pública,Madrid,PASEO del Polideportivo 3 1ª ,28032,CENTRO DEPORTIVO MUNICIPAL VICALVARO.PASILLO HALL AYTO. MADRID,448797,4473372,
2018-26,Pública,Madrid,AVDA de Monforte de Lemos 38-A  ,,CENTRO DEPORTIVO MUNICIPAL LA VAGUADA. EN HALL DE ENTRADA AYTO. MADRID,439897,4481184,
2017-232,Pública,Aldea del Fresno,PLAZA Constitución 1 BAJA ,28620,PLANTA BAJA JUNTO AL MOSTRADOR DE RECEPCIÓN DEPENDENCIAS MUNICIPALES. AYUNTAMIENTO DE ALDEA DEL FRESNO,397786,4464496,
2017-268,Pública,Madrid,CALLE de la Castellana 278 CERO ,28032, ICEX ESPAÑA EXPORTACIÓN E INVERSIONES,441844,4480778,TODO EL DÍA
2017-269,Pública,Madrid,PASEO de la Castellana 278 SEGUND ,28046, ICEX ESPAÑA EXPORTACIÓN E INVERSIONES,441844,4480778,TODO EL DÍA
2017-291,Pública,Madrid,AVDA de Asturias 28 BAJA ,28029,"VESTÍBULO PRINCIPAL. D.G. VIVIENDA Y REHABILITACIÓN CONSEJERÍA TRANSPÒRTES, VIVIENDA E INFRAESTRUCTURAS",441104,4480078,
2017-292,Pública,Madrid,CALLE de Braganza 3 BAJA ,28025,"D.G. VIVIENDA Y REHABILITACIÓN CONSEJERÍA TRANSPORTES, VIVIENDA E INFRAESTRUCTURAS",438796,4470696,
2017-298,Pública,"Molinos, Los",CALLE Calvario 20 BAJA ,28460,HALL DE ACCESO A DESPACHOS DE DIRECCIÓN CEIP DIVINO MAESTRO,408920,4507606,
2017-303,Pública,Loeches,AVDA de Argentina 2  ,28890,EN PARED IZQUIERDA DEL HALL PRINCIPAL DE ENTRADA CEIP DUQUE DE ALBA,464903,4469980,
2017-227,Pública,Coslada,CALLE de Juan de Herrera 2  ,28823,CENTRO DE MAYORES J.L. SAMPEDRO. AYUNTAMIENTO COSLADA EN EL HALL DE ENTRADA,454689,4476954,L A V DE 10 A 21. SY D 10 A 14 Y 16:30 A 20:30
2017-229,Pública,Coslada,AVDA Francfort 2  ,28822,CENTRO DE MAYORES CIUDAD 70. AYUNTAMIENTO COSLADA ENEL HALL DE ENTRADA,454139,4474537,L A V DE 10 A 21 S Y D DE 10 A 14 Y 16:30 A 20:30
2017-290,Pública,Madrid,CTRA de Somontes al Palacio de la Real Quinta 1  ,28048,EN CONSEJERÍA A ENTRADA DEL CENTRO JUNTO DESPACHO DUES CPEE LA QUINTA,437448,4484120,
2017-331,Pública,Torrelodones,PLAZA de la Constitución 1 BAJA ,28250,ALCALDÍA AYUNTAMIENTO DE TORRELODONES,421344,4492062,730 A 15
2017-332,Pública,Torrelodones,PASEO Joaquín Ruiz Giménez 26  ,28250,"CAMPO DE FÚTBOL MUNICIPAL ""JULIÁN ARIZA"". EN SALA DE REUNIONES EDIFICIO VESTUARIOS. AYUNTAMIENTO TORRELODONES",421957,4491745,DURANTE USO DE ACTIVIDAD
2017-343,Pública,Madrid,PLAZA del Emperador Carlos V 1  ,28012,ESTACIÓNDE ATOCHA. AVE. ZONA EMBARQUE AVE 1ª PLANTA JUNTA ATN. CLIENTE  - ADIF,441376,4473078,0 A 24
2017-344,Pública,Madrid,CALLE de Agustín de Foxá 46  ,28036,ESTACIOÓN RENFE DE CHAMARTÍN. VSTÍBULO PRINCIPAL JUNTO A ATENCIÓN AL CLIENTE.   ADIF,442188,4480443,0 A 24
2018-154,Pública,Madrid,CALLE de Serrano Galvache 8  ,28033,AL LADO DE LA CENTRALITA INSTITUTO EDUARDO TORROJA,443181,4480270,7-21
2017-294,Pública,Madrid,CALLE de Orense 60  ,28020,"HALL DE ENTRADA. SECRETARÍA GENERALTÉCNICA CONSEJERÍA DE TRANSPORTES, VIVIENDA E INFRAESTRUCTURAS",441174,4479054,
2017-333,Pública,Torrelodones,AVDA de Rosario Manzaneque 1 BAJA ,28250,CASA DE CULTURA AYUNTAMIENTO DE TORRELODONES,419036,4492529,L A S 
2017-334,Pública,Torrelodones,PLAZA de José María Unceta 4 BAJA ,28250,POLIDEPORTIVO MUNICIPAL AYUNTAMIENTO TORRELODONES,420499,4492499,L A V MAÑANA Y TARDE
2017-336,Pública,Torrelodones,AVDA de Torrelodones 8 BAJA ,28250,TORREFORUM AYUNTAMIENTO DE TORRELODONES,420056,4492221,L A S MAÑANA Y TARDE
2018-7,Pública,Madrid,CALLE CENTRO DEPORTIVO MUNICIPAL PALOMERAS (2). EN HALL DE ENTRADA 4  ,,AYUNTAMIENTO DE MADRID,446207,4470415,
2018-87,Pública,Alcalá de Henares,CALLE Torrelaguna 29  ,28806,<EN HALL DEL COLEGIO JUNTO A CONSERJERÍA CEIP GARCÍA LORCA,468344,4482055,9-18
2018-137,Pública,Madrid,"CALLE km 7,5. EDIFICIO PRINCIPAL INIA  2ª ",,INSTITUTO NCANL INVESTIG. Y TECNOLOGL AGRARIA Y ALIMENTARIA,436395,4478535,
2017-282,Pública,Alcalá de Henares,CALLE Luis de Medina 12  ,28805,UBICADO EN VESTÍBULO JUNTO A HALL DE ENTRADA PRINCIPAL COLEGIO LOPE DE VEGA,469745,4482227,
2017-353,Pública,"Rozas de Madrid, Las",CALLE Comunidad de La Rioja 4  ,28231,EN EL SERVICIO MÉDICO DEL POLIDEPORTIVO MUNICIPAL ALFREDO ESPINIELLA.  AYUNTAMIENTO DE LAS ROZAS,425230,4482708,8 A 22
2018-2,Pública,Villanueva del Pardillo,PLAZA Mayor 1  ,28229,AYUNTAMIENTO VILLANUEVA DEL PARDILLO,418267,4482655,24 H
2018-49,Pública,Madrid,CALLE del Pintor El Greco 4 1ª ,28040,"HALL JUNTO PERSONAL SEGURIDAD,SG INST.PATRIM.CULTURAL ESPAÑA CIUDAD UNIVERSITARIA",437676,4476983,24 H
2018-119,Pública,Villanueva de la Cañada,AVDA de la Rioja 14 BAJA ,28691,JUNTO A ENFERMERÍA CEIPSO MARÍA MOLINER,415313,4476848,
2017-357,Pública,"Rozas de Madrid, Las",AVDA Nuestra Señora del Retamar 16  ,28232,EB SERVICIO MÉDICO. ZOPNA PISTA DE ATLETISMO. POLIDEPORTIVO MUNICIPAL DEHESA DE NAVALCARBÓN. AYTO. LAS ROZAS,424644,4484405,DE 8 A 22:30
2017-358,Pública,"Rozas de Madrid, Las",CALLE Wisteria 7  ,28232,EN SERVICIO MÉDICO DE CENTRO MUNICIPAL DE RUGBY AYUNTAMIENTO DE LAS ROZAS,421603,4485771,
2018-16,Pública,Madrid,CTRA de Villaverde a Vallecas 19  ,28041,CENTRO DEPORTIVO MUNICIPAL EL ESPINILLO PASILLO DEL HALL. AYTO. MADRID,441676,4467531,
2018-56,Pública,Madrid,CALLE de la Infanta Mercedes 31 4ª ,28020,AGENCIA DE INFORMACIÓN Y CONTROL ALIMENTARIOS ,440738,4478477,L A V DE 7 A 20
2017-226,Pública,Coslada,CALLE de Velázquez 6  ,28821,CENTRO DE MAYORES PRIMAVERA. AYUNTAMIENTO COSLADA EN EL PASILLO,452105,4474861,L A V DE 10 A 21. S Y D DE 10 A 14 Y DE 16:30 A 20:30
2017-327,Pública,Madrid,CALLE del Sacramento 3-5  ,28005,PUESTO DE CONTROL DE SEGURIDAD ENTRADA C/ ROLLO INSTALADO EN C/SACRAMENTO 3,439672,4474005,DE 8 A 17
2017-354,Pública,"Rozas de Madrid, Las",AVDA Nuestra Señora del Retamar 16  ,28232,SERVICIO MÉDICO DE POLIDEPORTIVO MUNICIPAL DEHESA DE NAVALCARBÓN AYUNTAMIENTO DE LAS ROZAS,424667,4484525,8 A 22:30
2017-403,Pública,Alcalá de Henares,CALLE Luis Vives 18  ,28803,CEIP LUIS VIVES EN EL EDIFICIO PRINCIPAL,468804,4480473,
2018-47,Pública,Madrid,CALLE de Santa Pola 22  ,28008,CENTRO DEPORTIVO MUNICIPAL JOSEFA Mª CAGIGAL HALL DE ENTRADA. AYTO. MADRID,437487,4475984,
2018-181,Pública,Alcobendas,CTRA de Barajas km1  ,,PARQUE DE BOMBEROS DE ALCOBENDAS INSTALADO EN VEHÍCULO DE INTERVENCIÓN,447447,4487324,24H
2018-182,Pública,Aldea del Fresno,CTRA M-507 (Navalcarnero-Cadalso) KM16  ,28620,PARQUE DE BOMBEROS DE ALDEA DEL FRESNO INSTALADO EN VEHÍCULO DE INTERVENCIÓN,398858,4463898,24H
2018-183,Pública,Aldea del Fresno,CALLE PARQUE DE BOMBEROS DE ALDEA DEL FRESNO KM16  ,,INSTALADO EN VEHÍCULO DE INTERVENCIÓN,398858,4463898,24 H
2018-184,Pública,Aranjuez,PASEO de Deleite 7  ,28300,PARQUE DE BOMBEROS DE ARANJUEZ INSTALADO EN VEHÍCULO DE INTERVENCIÓN,447780,4430740,24H
2018-186,Pública,Arganda del Rey,"CALLE PARQUE DE BOMBEROS DE ARGANDA DEL REY km22,5  ",,INSTALADO EN VEHÍCULO DE INTERVENCIÓN,458212,4462617,24H
2018-188,Pública,Collado Villalba,CALLE PARQUE DE BOMBEROSD E COLLADO VILLALBA km0.8  ,,INSTALADO EN VEHÍCULO DE INTERVENCIÓN,415062,4499427,24H
2018-189,Pública,Collado Villalba,CALLE PARQUE DE BOMBEROS DE COLLADO VILLALBA km0.8  ,,INSTALADO EN VEHÍCULO DE INTERVENCIÓN,415062,4499427,
2018-191,Pública,Coslada,AVDA de la Cañada   ,,PARQUE DE BOMBEROS DE COSLADA INSTALADO EN VEHÍCULO DE INTERVENCIÓN,454014,4476713,24H
2018-214,Pública,"Rozas de Madrid, Las",CTRA de la Coruña KM21.8  ,,SERVICIO SANITARIO CUERPO DE BOMBEROS. EN RESERVA PARA POSIBLES SUSTITUCIONES DE LOS INSTALADOS EN VEHÍCULOS DE INTERVENCIÓN,425080,4485924,24H
2018-217,Pública,"Rozas de Madrid, Las",CTRA de la Coruña 21.8  ,28232,SERVICIO SANITARIO CUERPO DE BOMBEROS. EN RESERVA PARA POSIBLES SUSTITUCIONES DE LOS INSTALADOS EN VEHÍCULOS DE INTERVENCIÓN,425080,4485924,24H
2018-218,Pública,"Rozas de Madrid, Las",CTRA de la Coruña KM21.8  ,,SERVICIO SANITARIO CUERPO DE BOMBEROS. EN RESERVA PARA POSIBLES SUSTITUCIONES DE LOS INSTALADOS EN VEHÍCULOS DE INTERVENCIÓN,425080,4455924,24H
2018-220,Pública,"Rozas de Madrid, Las",CTRA de la Coruña KM21.8  ,,SERVICIO SANITARIO CUERPO DE BOMBEROS. EN RESERVA PARA POSIBLES SUSTITUCIONES DE LOS INSTALADOS EN VEHÍCULOS DE INTERVENCIÓN,425080,4485924,24H
2018-222,Pública,"Rozas de Madrid, Las",CTRA de la Coruña KM21.8  ,,SERVICIO SANITARIO CUERPO DE BOMBEROS. EN RESERVA PARA POSIBLES SUSTITUCIONES DE LOS INSTALADOS EN VEHÍCULOS DE INTERVENCIÓN,425080,4485924,24H
2018-223,Pública,Torrejón de Ardoz,CALLE Estaciones 0  ,28850,PARQUE DE BOMBEROS DE TORREJÓN DE ARDOZ INSTALADO EN VEHÍCULO DE INTERVENCIÓN,458753,4477221,24H
2018-225,Pública,Tres Cantos,CALLE del Fuego   ,,PARQUE DE BOMBEROS DE TRES CANTOS INSTALADO EN VEHÍCULO DE INTERVENCIÓN,439121,4496035,24H
2018-331,Pública,Madrid,PLAZA de la Marina Española 9 BAJA ,28013,CONTROL DE ACCESO POLICÍA CENTRO DE ESTUDIOS POLÍTICOS Y CONSTITUCIONALES,439560,4474692,7.30-20
2018-431,Pública,"Hiruela, La",CALLE de Enmedio 2  ,28191,JUNTO A ENTRADA DEL BAR SOCIAL EN ZONA DE ATENCIÓN AL PÚBLICA AYUNTAMIENTO DE LA HIRUELA,461786,4547515,10-21
2018-479,Pública,Alcobendas,CTRA de Barajas KM 1.4  ,,PABELLÓN DEPORTIVO AMAYA VALDEMORO. EN EL HALL DEL PABELLÓN AYTO. ALCOBENDAS,447284,4487474,L A D 8-22.30
2018-480,Pública,Alcobendas,CALLE de Francisco Chico Mendes 8  ,28108,PABELLÓN DEPORTIVO ANTELA PARADA. HALL DE ENTRADA AYTO. ALCOBENDAS,444644,4485951,COMPETICIONES
2018-481,Pública,Alcobendas,CALLE del Bachiller Alonso López 13  ,28100,PABELLÓN DEPORTIVO BACHILLER ALONSO LÓPEZ. EN VESTUARIO AYTO. ALCOBENDAS,446300,4488463,L A V 8-22.30
2018-482,Pública,Alcobendas,AVDA de Bruselas 19  ,28109,CENTRO CÍVICO ANABEL SEGURA. EN HALL DE ENTRADA AYTO. ALCOBENDAS,446081,4486924,L A V 10-21
2018-180,Pública,Alcobendas,CTRA de Barajas   ,,PARQUE DE BOMBEROS DE ALCOBENDAS INSTALADO EN VEHÍCULO DE INTERVENCIÓN,447447,4487324,24H
2018-257,Pública,Madrid,CALLE de Agustín de Foxá 31 BAJA ,28036,EN EL HALL DE ENTRADA JUNTO A SEGURIDAD AGENCIA MADRILEÑA DE ATENCIÓN SOCIAL,441975,4480330,7.30-19
2018-315,Pública,Aranjuez,PLAZA de Parejas s/n  ,28300,ÁREA DE CONTROL DE LA ZONA DE FELIPE II CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL,448059,4432018,
