codigo_dea,tipo_titularidad,municipio_nombre,direccion_establecimiento,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso
2018-3025,Pública,Alcalá de Henares,CUSTA Teatinos S/N  ,28805,CAMPO DE FUTBOL ISIDRO CEDIEL ,469502,4482436,
2021-30,Pública,Loeches,CALLE Santa Ana 1  ,28890,CENTRO EMPRESAS Y FORMACIÓN ,465228,4470246,
2021-34,Pública,Loeches,CALLE Arganda 1  ,28890,AYTO. CASA JUVENTUD ,465230,4470432,
2018-2849,Pública,Madrid,CALLE del Néctar 0  ,28022,"DENTRO DEL DEPOSITO DE CANILLEJAS, CICLO CORTO JUNTO ACCESO CORTE",448421,4477237,
2019-156,Pública,Madrid,CMNO de la Canaleja 0  ,28044,"DENTRO DEL DEPÓSITO DE METRO CUATRO VIENTOS, EN EL VESTÍBULO",433162,4468506,
2018-2847,Pública,Madrid,CALLE de Miguel Ángel 33  ,28010,DENTRO DE LA ESTACION GREGORIO MARAÑON EN EL DISTRIBUIDOR ANDEN 2 DE LINEA 10,441365,4476589,
2020-405,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 58 E.M.T.,442158,4481299,
2020-412,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 32 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2018-2906,Pública,Madrid,AVDA de la Democracia 0  ,28031,DENTRO ESTACION SIERRA DE GUADALUPE EN VESTÍBULO RENFE/AVDA. DE LA DEMOCRACIA,446948,4470368,
2018-2838,Pública,Madrid,PLAZA del Emperador Carlos V 0  ,28045,ESTACIÓN DE MADRID PUERTA ATOCHA. SALA PREEMBARQUE DE LA 1ª ADIF ALTA VELOCIDAD,441376,4473078,24 H
2018-2833,Pública,Madrid,AVDA de la Albufera 248  ,28038,DENTRO ESTACION DE METRO ALTO DEL ARENAL PUESTO DE CONTROL CENTRAL,445235,4471262,24H
2020-136,Pública,,"C/ OLIVO S/N, 28522, RIVAS-VACIAMADRID   ",,ENTRADA PRINCIPAL,454829,4467913,
2020-137,Pública,,"C/ SIERRA NEVADA 32, 28691, VILLANUEVA DE LA CAÑADA   ",,JUNTO ASCENSOR-HALL,414406,4476858,
2020-138,Pública,,"C/ LUIS VIVES 18, 28803, ALCALA DE HENARES   ",,ENTRADA PRINCIPAL,468806,4480471,
2020-139,Pública,,"AVENIDA VASCONGADAS S/N, 28903, GETAFE   ",,ENTRADA PRINCIPAL,439320,4462499,
2020-165,Pública,Madrid,CALLE del Doctor Mata 2  ,28012,Entrada ,441102,4473381,
2020-190,Pública,Getafe,"CTRA Toledo 12,500  ",28900,CAFETERÍA PÚBLICA HOSPITAL UNIVERSITARIO DE GETAFE ,436835,4462636,7-23
2018-2811,Pública,Madrid,PASEO de la Castellana 101  ,28046,DENTRO DE LA ESTACIÓN DE METRO SANTIAGO BERNABEU EN VESTIBULO SANTIAGO BERNABEU,441373,4478079,
2020-315,Pública,Rivas-Vaciamadrid,CALLE Mariano Fortuny 2  ,28522,RIVASVACIAMADRID EMPRESA MUNICIPAL DE SERVICIOS ,454765,4466107,DE 5 A 22
2018-576,Pública,Alcalá de Henares,AVDA de Madrid 9  ,28802,EN EDIFICIO VESTUARIOS FÚTBOL CIUDAD DEPORTIVA EL JUNCAL CIUDAD DEPORTIVA MUNICIPAL,466875,4480538,"9,00h a 22,00h (l-v) 9,00h a 21,00h (s,d,f)"
2019-2673,Pública,Torrejón de Ardoz,AVDA Madrid 7  ,28850,AL LADO DE RECEPCIÓN CENTRO 3ª EDAD AVENIDA DE MADRID,458947,4479417,9:00 - 18:00
2021-13,Pública,Móstoles,CALLE Fragua 13  ,28933,AYUNTAMIENTO DE MÓSTOLES VEHÍCULO POLICIA MUNICIPAL MATRICULA 6448-LKM,426893,4466062,
2021-14,Pública,Móstoles,CALLE Fragua 13  ,28933,AYUNTAMIETO DE MÓSTOLES VEHÍCULO DE POLICÍA MUNICIPAL M-8 MATRÍCULA 9271-LLB,426893,4466062,
2021-27,Pública,Loeches,CALLE San Lorenzo 48  ,28890,NAVE MANTENIMIENTO ,464759,4470327,
2021-33,Pública,Loeches,AVDA de la Constitución 2  ,28890,BIBLIOTECA ,465230,4470432,
2018-2923,Pública,Madrid,PASEO de Gigantes y Cabezudos 0  ,28041,DENTRO ESTACION DE METRO CIUDAD DE LOS ANGELES EN VESTIBULO,441101,4467949,
2018-2960,Pública,Madrid,CALLE de Andorra 41  ,28043,DENTRO DE LA ESTACIÓN DE ESPERANZA EN VESTÍBULO,445242,4478966,
2018-2777,Pública,Madrid,AVDA de América 9  ,28002,DENTRO DE ESTACION AVENIDA DE AMERICA PASILLO DISTRIBUCION JUNTO A VESTIBULO AVDA. DE AMERICA,442572,4476562,6:00 A 1:30
2020-413,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 33 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-414,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 34 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-415,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 35 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-416,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 36 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-422,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 42 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-424,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 124 E.M.T.,442158,4481299,
2020-425,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 126 E.M.T.,442158,4481299,
2020-426,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 128 E.M.T.,442158,4481299,
2018-2961,Pública,Madrid,CALLE de Clara del Rey 81  ,28002,"DENTRO DE LA ESTACIÓN DE ALFONSO XIII, EN VESTÍBULO ",443367,4477719,24 HORAS- ABIERTO AL PUBLICO DE 6:00 A 1:30
2018-3020,Pública,Alcalá de Henares,AVDA Virgen del Val 8  ,28804,PISCINA DE VERANO DEL VAL EN BOTIQUIN AYTO ALCALA DE HENARES,470713,4481478,"12,00h a 20,00h l-d solo en verano"
2018-3090,Pública,Madrid,CALLE del Valle de Tobalina 0  ,28021,DENTRO DE LAESTACIÓN VILLAVERDE ALTO EN VESTIBULO METRO DE MADRID,439467,4465847,
2019-2911,Pública,Madrid,PASEO EL PARDO / GUARDIA REAL CUERPO GUARDIA CUARTEL DE REINA / PRÍNCIP 43  ,28048,E - CASETA PRINCIPAL,433973,4486528,24H
2020-41,Pública,Tres Cantos,AVDA de la Luz 0  ,28760,PISCINA CUBIERTA LA LUZ AYUNTAMIENTO DE TRES CANTOS,440359,4495275,
2020-42,Pública,Tres Cantos,SECT Literatos 11  ,28760,POLIDEPORTIVO MIGUEL DE CERVANTES AYUNTAMIENTO DE TRES CANTOS,439942,4495551,
2020-43,Pública,Tres Cantos,SECT Músicos 11  ,28760,COLEGIO GARCÍA MÁRQUEZ AYUNTAMIENTO DE TRES CANTOS,439237,4495546,
2020-45,Pública,Tres Cantos,SECT Islas 25  ,28760,CENTRO DEPORTIVO ISLAS AYUNTAMIENTO DE TRES CANTOS,440644,4493806,
